,id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
0,29412011472,8297,981571c937,Breakfast in Venice,venezia venice veneto triziofrancesco canalgrande colazione breakfast cappuccino cornetto,146,"I riflessi del Canal Grande mi accecano ... <a href=""https://www.tripadvisor.it/Restaurants-g187870-zfp2-Venice_Veneto.html"" rel=""nofollow"">www.tripadvisor.it/Restaurants-g187870-zfp2-Venice_Veneto...</a>",2016-08-25 08:44:45,45.439605,12.320222,https://live.staticflickr.com/8297/29412011472_981571c937_m.jpg,triziofrancesco,142316486@N05,photo
1,25407723970,1449,c9e5cbddd6,Cappuccino,venice italy it february cappuccino venedig 5star philippestarck veneto citytrip designhotel palazzinagrassi palazzinag httptravelmemocomeuropeitalybirthdaysurpriseinvenice,198,Cappuccino breakfast,2016-02-24 09:00:18,45.434041,12.328136,https://live.staticflickr.com/1449/25407723970_c9e5cbddd6_m.jpg,travelmemo.com,16253319@N00,photo
2,25407723970,1449,c9e5cbddd6,Cappuccino,venice italy it february cappuccino venedig 5star philippestarck veneto citytrip designhotel palazzinagrassi palazzinag httptravelmemocomeuropeitalybirthdaysurpriseinvenice,198,Cappuccino breakfast,2016-02-24 09:00:18,45.434041,12.328136,https://live.staticflickr.com/1449/25407723970_c9e5cbddd6_m.jpg,travelmemo.com,16253319@N00,photo
3,16705301723,8816,423910b76e,Seeing Venice,venice italy coffee cappuccino venezia smileyface hotelamericandinesen,363,,2015-04-21 09:23:57,45.430380,12.329647,https://live.staticflickr.com/8816/16705301723_423910b76e_m.jpg,mhaithaca,79715083@N00,photo
4,16676023708,7589,250e590ae2,Cappuccino,italien venice summer italy food hot cup tasse canon eos cafe italia drink sommer kaffee dslr cappuccino tamron venezia venedig caffe schaum,16021,"in Venedig  <b><a href=""https://www.facebook.com/freagraphy"" rel=""nofollow"">Facebook</a> | <a href=""http://freagraphy.de"" rel=""nofollow"">Blog</a> | <a href=""http://instagram.com/freaky_design"" rel=""nofollow"">Instagram</a></b>",2014-09-18 14:09:50,45.441517,12.334052,https://live.staticflickr.com/7589/16676023708_250e590ae2_m.jpg,David Schiersner,27280854@N03,photo
5,13897500867,2901,eb930a0b0e,Da Florian,venice italy italia florian venezia piazzasanmarco stmarkssquare 意大利 veneto 威尼斯 caffèflorian stilllife cup water café table italian tray cappuccino saucer caffee caraffe,4527,"Venice, Caffè Florian, March 2014  Caffè Florian was established in 1720 and has been frequented by the likes of Goldoni, Casanova, Goethe, Byron, Dickens and Proust. One cappuccino cost €15, but, in all fairness, that included a €6 surcharge for the live music.",2014-03-01 00:00:00,45.433658,12.338204,https://live.staticflickr.com/2901/13897500867_eb930a0b0e_m.jpg,j. kunst,7839660@N02,photo
6,12639359935,7425,5f0b90e304,Coffee in Venice,flickrandroidapp:filter=none venice venezia venetië italie italy koffie coffee kaffee cappuccino kafe قهوة սուրճ qəhvə কফি ကော်ဖီ kafu кафе 咖啡 kaffe kohv kahvia café ყავა καφέσ kofi קפה कॉफ़ी kávé kaffi kopi コーヒー قهوه قەھۋە کافي ڪافي kahve қаҳва กาแฟ cafea கொட்டைவடிநீர்,1379,,2014-02-18 11:55:44,45.434969,12.337195,https://live.staticflickr.com/7425/12639359935_5f0b90e304_m.jpg,Roelie Wilms,9296555@N08,photo
7,5812755796,2749,4dc3cd0dea,Due cappuccini,venice venezia venetië italy italië italia city travel chantalnederstigt cappuccino heart hearts coffee koffie channedimages,528,"Venice, Italy",2011-06-05 11:44:45,45.432551,12.324342,https://live.staticflickr.com/2749/5812755796_4dc3cd0dea_m.jpg,Channed,44586749@N07,photo
8,4619499998,3399,e728abc39e,cappuccini,venice italy coffee break teddy cappuccino,181,,2010-05-13 11:47:25,45.426881,12.360348,https://live.staticflickr.com/3399/4619499998_e728abc39e_m.jpg,blog.otronic,69378497@N00,photo
9,3986357084,2651,32b108cd1f,first meal,travel venice italy food travelling pizza cappuccino veneto,69,"an odd combination, pizza and cappuccino, but I had to get initiated right away! ",2009-09-23 12:47:21,45.433024,12.324884,https://live.staticflickr.com/2651/3986357084_32b108cd1f_m.jpg,1yen,62929416@N00,photo
