,id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
0,52722010305,65535,72a3e78d87,20210923_134127,venice venuto italy italia europe travel tourism dinner seafood venitian venezia,12,,2021-09-23 13:41:27,45.435108,12.339252,https://live.staticflickr.com/65535/52722010305_72a3e78d87_m.jpg,Sharkshock,31735567@N08,photo
1,52496059066,65535,0f36693bf7,A dinner near the Venetian canals,walk venice venezia veneto laguna lagoon canali acqua boats barche calle water canals gondola cityscape paesaggiourbano italia italy dinner near venetian marioottaviani sony sonyimages sonyimage sonyalpha sonyalphaclub sonyalphasclub sonyalphauniverse bealpha sonyusers sonyalphapro discoverwithalpha photographylovers photographysouls picoftheday pictureoftheday magicpict natgeoyourshot outdoorphotography earthescope natgeotravel planetdiscovery travel scenic viaggio trip exploration esplorazione,1086,Sony a7rII | LA-EA3 | Sony AF 70-400 F4-5.6 G SSM,2018-10-14 18:51:03,45.435994,12.320208,https://live.staticflickr.com/65535/52496059066_0f36693bf7_m.jpg,Mario Ottaviani Photography,54945580@N04,photo
2,49884875027,65535,d60f18cac5,Cena da Gino,venice venezia italy italia historic beautiful city autumn fall november 2017 novembre vacation holiday veneto ginos ristorante pizzeria since dal 1972 rio terà lista dispagna 157 30121 ve dinner cena ginosnorth chicago edgewater favorite beingthere nazionale,364,"We found a pizzeria by the same name as our favorite back in Chicago, so of course we had to eat there.  <a href=""https://www.tripadvisor.com/Restaurant_Review-g187870-d7254051-Reviews-Gino_s-Venice_Veneto.html"" rel=""noreferrer nofollow"">www.tripadvisor.com/Restaurant_Review-g187870-d7254051-Re...</a>  <a href=""http://www.ginosnorth.com"" rel=""noreferrer nofollow"">www.ginosnorth.com</a>  Venice, Italy. Wednesday, November 15, 2017.",2017-11-15 13:16:34,45.442307,12.323452,https://live.staticflickr.com/65535/49884875027_d60f18cac5_m.jpg,Flint Foto Factory,41701540@N02,photo
3,49884874882,65535,712bb8d7d4,Dal 1972,venice venezia italy italia historic beautiful city autumn fall november 2017 novembre vacation holiday veneto ginos ristorante pizzeria since dal 1972 rio terà lista dispagna 157 30121 ve dinner cena ginosnorth chicago edgewater favorite beingthere menu,306,"We found a pizzeria by the same name as our favorite back in Chicago, so of course we had to eat there.  <a href=""https://www.tripadvisor.com/Restaurant_Review-g187870-d7254051-Reviews-Gino_s-Venice_Veneto.html"" rel=""noreferrer nofollow"">www.tripadvisor.com/Restaurant_Review-g187870-d7254051-Re...</a>  <a href=""http://www.ginosnorth.com"" rel=""noreferrer nofollow"">www.ginosnorth.com</a>  Venice, Italy. Wednesday, November 15, 2017.",2017-11-15 13:18:49,45.442307,12.323452,https://live.staticflickr.com/65535/49884874882_712bb8d7d4_m.jpg,Flint Foto Factory,41701540@N02,photo
4,48200785107,65535,36fce88535,Asparagus Souffle,asparagussouffle asparagus souffle appetizer food dinner lazucca venice italy europe worldheritagesite,74,We ate at La Zucca twice.,2019-06-01 19:36:15,45.440419,12.328097,https://live.staticflickr.com/65535/48200785107_36fce88535_m.jpg,Ryan Hadley,85813749@N00,photo
5,48192442477,65535,cc65922048,Asparagus Lasagna,lazucca dinner venice italy europe worldheritagesite asparagus lasagna italiancuisine,76,At La Zucca,2019-05-31 19:56:43,45.440953,12.328484,https://live.staticflickr.com/65535/48192442477_cc65922048_m.jpg,Ryan Hadley,85813749@N00,photo
6,44911459771,1978,e62af17452,Venice of people and of the good taste,venezia venice cannaregio taste veneto dinner italian pranzo goodtaste,7781,,2018-09-25 10:11:19,45.444195,12.332839,https://live.staticflickr.com/1978/44911459771_e62af17452_m.jpg,Cristiano Busato,144405414@N03,photo
7,44350688332,1873,5fc8c91119,Wine street,rivadelvin sanpolo venetië venice venezia stad city veneto italië italy italia europa europe continent avond evening blauweuur bluehour bewegingsonscherpte motionblur restaurants eten eating diner dinner palen poles gondolas boten boats,3003,"22/05/2018; This actually was the last photo I took on my Italy trip, back in May. But don't worry, there are still plenty of Italy captures that I haven't shared here yet. Just thought it was time for a blue hour photo again after a couple of daytime shots. :)  Please (also) follow me on my... * <a href=""http://www.jdj-photography.nl"" rel=""nofollow"">website</a> * <a href=""https://www.facebook.com/jdjphotographynl"" rel=""nofollow"">Facebook page</a> * <a href=""https://www.instagram.com/jdjphotography"" rel=""nofollow"">Instagram</a> * <a href=""https://500px.com/jdj-photography"" rel=""nofollow"">500PX</a> * <a href=""http://www.werkaandemuur.nl/index/shop/nl/Jeroen-de-Jongh/shop/7098"" rel=""nofollow"">Werk Aan De Muur</a>",2018-05-22 21:16:02,45.437199,12.333698,https://live.staticflickr.com/1873/44350688332_5fc8c91119_m.jpg,JdJ Photography (www.jdj-photography.nl),24494149@N02,photo
8,38786927490,4790,4231facdb7,Trattoria Povoledo - Canal Side - July 2016,cruise italian pizza restaurant water july italy greece vacation costadeliziosa dinner 2016,914,Later same night had a bottle of wine and watched Germany beat Italy in Soccor Semi's.,2016-07-02 14:02:27,45.441547,12.323141,https://live.staticflickr.com/4790/38786927490_4231facdb7_m.jpg,Reddad Ford,65225985@N07,photo
9,26595394818,4618,5deb5d9ce6,Paccheri in White sauce,italy 意大利 paccheri whitesauce food eat pasta flour yummy chanmelmel mel melinda melindachan restaurant cuisine meal dinner lunch wpd24nature wpd24people wpd24animals wpd24abstract wpd24urban,686,Italy 意大利,2018-02-12 20:44:01,45.435469,12.340022,https://live.staticflickr.com/4618/26595394818_5deb5d9ce6_m.jpg,MelindaChan ^..^,8945641@N02,photo
