id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
53109951251,65535,f8654a65dc,Big Lebowski in Venice,venice venezia italy italia veneto boats canal boat canals rialto grand statues carvings buildings bridge reflection mirror gondola bookstore library books masks clock tower church statue campanile bell campo big lebowski dude jeff jeffrey jeffry ralphs market grocery card lights credit member st marks saint marko marco san piazza,64,I had to find a clever way to keep the air conditioner on during the day!,2023-06-29 19:21:51,45.437542,12.342002,https://live.staticflickr.com/65535/53109951251_f8654a65dc_m.jpg,Crumblin Down,30004891@N00,photo
52329414769,65535,d46c4cf3ab,the almost hidden,venezia wenecja venedig venice night walk av 5782 august 2022 grocery shop deli conad,63,DSC03833,2022-08-27 17:50:45,45.433931,12.324020,https://live.staticflickr.com/65535/52329414769_d46c4cf3ab_m.jpg,艾王磊,24076444@N03,photo
47322493542,7884,debf14b598,IMGP5116 Chatting and selling,venezia venice pentax pentaxk3ii pentaxart pentaxlens pentax18135 early morning sunrise sky clouds italy pentaxcamera market grocery street people face streetmarket,1112,"Venezia, Venice",2019-03-09 09:00:50,45.437344,12.341122,https://live.staticflickr.com/7884/47322493542_debf14b598_m.jpg,Claudio e Lucia Images around the world,137129299@N07,photo
33495643438,7816,794ab3e013,IMGP5114 Grocery Market,venezia venice pentax pentaxk3ii pentaxart pentaxlens pentax18135 early morning sunrise sky clouds italy pentaxcamera market grocery streetmarket,1368,"Venezia, Venice",2019-03-09 09:00:09,45.437372,12.341186,https://live.staticflickr.com/7816/33495643438_794ab3e013_m.jpg,Claudio e Lucia Images around the world,137129299@N07,photo
35978539734,4335,c29b468779,Grocery boat - Venice - Italy,italie juillet m262 venise frances leicam vacances fruit legume epicier bateau grocery store stall man work worker travail travailleur hommeuomo,415,Not your average convenience stall.  Leica M262 Summicron 28 or 50,2017-07-17 17:00:02,45.433274,12.324149,https://live.staticflickr.com/4335/35978539734_c29b468779_m.jpg,waex99,8857720@N08,photo
6065233469,6085,cee50f943e,Greengrocery in Venice - Zöldségbolt Velencében,venice canon powershot stefan grocery coloured stefán grocer velence a60 attila greengrocery greengrocer,2103,Venice 18.02.2006. - Coloured digital photo; Canon PowerShot A60,2011-08-21 08:06:29,45.434313,12.341455,https://live.staticflickr.com/6085/6065233469_cee50f943e_m.jpg,attila.stefan,64487902@N02,photo
5567419550,5144,13a7456d62,fruttivendolo sulla barca,italien venice italy italia grocery venezia venedig veneto fruttivendolo obstverkäufer,324,,2011-03-28 09:18:07,45.433349,12.325383,https://live.staticflickr.com/5144/5567419550_13a7456d62_m.jpg,Ticino-Joana,47735313@N04,photo
3478894859,3381,a1058fcfb6,Moving fruits,carnival venice white black grocery carnevale venezia bianco nero fruttivendolo davideeeem,125,,2009-02-20 12:56:04,45.439055,12.335554,https://live.staticflickr.com/3381/3478894859_a1058fcfb6_m.jpg,davideeeem,23236447@N05,photo
2941512972,3154,b6a43d0767,grocery shopping,street pink venice lady square photography event curacao piazza checkers grocery oldcity allrightsreserved grocerybag veneto venetië ©2008carolinecastendijk campodisantamargharita fotografiecuracao curaçaofotografie curacaofotografie carolinecastendijkphotography photographycuraçao carolinecastendijkfotografie carolinecastendijkphotographer,676,,2008-09-17 10:05:48,45.434200,12.323591,https://live.staticflickr.com/3154/2941512972_b6a43d0767_m.jpg,Caroline Castendijk,23893268@N00,photo
352598549,151,f417a87ff0,clementine from sicily,venice italy food orange fish vegetables market meat mercado grocery clementine venise venecia venezia mercato venedig rialto pesce opulence,270,"Rialto market, Venice, just before Christmas",2004-12-23 10:04:30,45.439744,12.334014,https://live.staticflickr.com/151/352598549_f417a87ff0_m.jpg,marcom X,15257460@N00,photo
352598549,151,f417a87ff0,clementine from sicily,venice italy food orange fish vegetables market meat mercado grocery clementine venise venecia venezia mercato venedig rialto pesce opulence,270,"Rialto market, Venice, just before Christmas",2004-12-23 10:04:30,45.439744,12.334014,https://live.staticflickr.com/151/352598549_f417a87ff0_m.jpg,marcom X,15257460@N00,photo
