id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
51971653034,65535,0ce44c1d49,Venice-20211029_150015,italy venice vikingcruise local river,20,Venice Canals.,2021-10-29 15:00:15,45.435144,12.338258,https://live.staticflickr.com/65535/51971653034_0ce44c1d49_m.jpg,rickamore,9818318@N04,photo
51970360932,65535,66abc0b454,Venice-20211029_161054,italy venice vikingcruise local river,20,Lovely Venice.,2021-10-29 16:10:54,45.435144,12.338258,https://live.staticflickr.com/65535/51970360932_66abc0b454_m.jpg,rickamore,9818318@N04,photo
51971653034,65535,0ce44c1d49,Venice-20211029_150015,italy venice vikingcruise local river,20,Venice Canals.,2021-10-29 15:00:15,45.435144,12.338258,https://live.staticflickr.com/65535/51971653034_0ce44c1d49_m.jpg,rickamore,9818318@N04,photo
51970360932,65535,66abc0b454,Venice-20211029_161054,italy venice vikingcruise local river,20,Lovely Venice.,2021-10-29 16:10:54,45.435144,12.338258,https://live.staticflickr.com/65535/51970360932_66abc0b454_m.jpg,rickamore,9818318@N04,photo
51647922617,65535,4991b04e12,Fishmarket in Venice (Or... The Fish Merchant of Venice 😊),fishmarket fish shopper shopping customer market produce artificiallighting lighting local wellingtons wellingtonboots boots ice venice veneto italy italia mercatodelpescealminuto pesce mercato seafood fishmerchant merchant merchantofvenice fishmerchantofvenice opera themerchantofvenice shakespeare shakespeariancomedy play antonio portia shylock williamshakespeare humor humour flood flooding,3173,"The Fish Merchant of Venice 😊 ...  A Tale (tail?) of Daily life in Venice where the locals and merchants are not tourists and have to sell, or shop for and buy, their food locally. 😊   Perhaps this is a modern day Antonio and Portia discussing Shylock's demands? 🤔😊 On a more serious note, you can tell this lady is a local from the elegant wellington boots she is wearing to help navigate the serious flooding that often occurs in Venice.",2019-11-27 11:38:26,45.439392,12.333451,https://live.staticflickr.com/65535/51647922617_4991b04e12_m.jpg,Malinki_Malinki,112468004@N07,photo
51523317234,65535,fed1da045d,Something lost,venezia venice veneto italy urbanlandscape couple classy elegance sundaymorning church smariadellasalute dorsoduro cane walking stroll local perspective fromanothertime cloudy poetry beauty streetphotography strangers,1973,"Nearby Punta della Dogana, Dorsoduro. ",2021-09-26 12:08:30,45.430638,12.328237,https://live.staticflickr.com/65535/51523317234_fed1da045d_m.jpg,Animusanima,52276266@N07,photo
50315715403,65535,ac733d33da,SmallTownVenezia,nikon nikonphotographer italia nikond7100 nikonphoto travelphotography nikonphotography home venice italy venezia boats travel notourists locals local boat homes real water canal dorsoduro,90,"This photo was taken in Venezia, Italy in the Dorsoduro, which is a part of the island which is home to less tourists but more real Venetians.  These beautiful, weathered buildings are people's homes.  The boats in the canal are not to ferry tourists around but how locals run their errands.  I think it is good to step back and realize people live in the places that tourists see as just a temporary destination for them.",2019-08-15 10:28:14,45.434336,12.338783,https://live.staticflickr.com/65535/50315715403_ac733d33da_m.jpg,M. Ghirardelli,146725631@N05,photo
49621474688,65535,cf521bb193,Gôndolas e Gondoleiros,geo:lat=4543406397 geo:lon=1233643097 geotagged itália sanmarco veneto san marco famous place international landmark hard rock cafe venice italy europe southern italian culture architecture travel house water canal outdoors city balcony tourism old sky apartment window town horizontal color image built structure no people vacations destinations national local building exterior day hotel cavalletto redminote7 insta,774,VENEZA (Itália): Gôndolas e gondoleiros.,2019-08-26 13:01:39,45.434063,12.336430,https://live.staticflickr.com/65535/49621474688_cf521bb193_m.jpg,vmribeiro.net,63281384@N00,photo
49618669331,65535,9bc27f8f7e,Gôndolas e Gondoleiros,geo:lat=4543418100 geo:lon=1233654197 geotagged itália sanmarco veneto famous place international landmark hard rock cafe venice san marco italy europe southern italian culture architecture travel house water canal outdoors city balcony tourism old sky apartment window town horizontal color image built structure no people vacations destinations national local building exterior day hotel cavalletto redminote7,655,VENEZA (Itália): Gôndolas e gondoleiros.,2019-08-26 13:00:33,45.434180,12.336541,https://live.staticflickr.com/65535/49618669331_9bc27f8f7e_m.jpg,vmribeiro.net,63281384@N00,photo
49462978626,65535,699922457f,Hotel Cavalletto,geo:lat=4337914046 geo:lon=586627340 geotagged famous place international landmark hard rock cafe venice san marco veneto italy europe southern italian culture architecture travel house water canal outdoors city balcony tourism old sky apartment window town horizontal color image built structure no people vacations destinations national local building exterior day hotel cavalletto redminote7,636,"VENEZA (Itália): Hotel Cavalletto.  Inaugurado no ano de 1308, o Albergo Cavalletto &amp; Doge Orseolo é um dos hotéis mais antigos de Veneza. Está situado atrás da Praça de São Marcos e disponibiliza um cais privado.",2019-08-26 10:53:37,45.434205,12.336822,https://live.staticflickr.com/65535/49462978626_699922457f_m.jpg,vmribeiro.net,63281384@N00,photo
49618669331,65535,9bc27f8f7e,Gôndolas e Gondoleiros,geo:lat=4543418100 geo:lon=1233654197 geotagged itália sanmarco veneto famous place international landmark hard rock cafe venice san marco italy europe southern italian culture architecture travel house water canal outdoors city balcony tourism old sky apartment window town horizontal color image built structure no people vacations destinations national local building exterior day hotel cavalletto redminote7,655,VENEZA (Itália): Gôndolas e gondoleiros.,2019-08-26 13:00:33,45.434180,12.336541,https://live.staticflickr.com/65535/49618669331_9bc27f8f7e_m.jpg,vmribeiro.net,63281384@N00,photo
49462978626,65535,699922457f,Hotel Cavalletto,geo:lat=4337914046 geo:lon=586627340 geotagged famous place international landmark hard rock cafe venice san marco veneto italy europe southern italian culture architecture travel house water canal outdoors city balcony tourism old sky apartment window town horizontal color image built structure no people vacations destinations national local building exterior day hotel cavalletto redminote7,636,"VENEZA (Itália): Hotel Cavalletto.  Inaugurado no ano de 1308, o Albergo Cavalletto &amp; Doge Orseolo é um dos hotéis mais antigos de Veneza. Está situado atrás da Praça de São Marcos e disponibiliza um cais privado.",2019-08-26 10:53:37,45.434205,12.336822,https://live.staticflickr.com/65535/49462978626_699922457f_m.jpg,vmribeiro.net,63281384@N00,photo
49431011548,65535,27de545ebb,"Woman in yellow, Venice, Italy",venice italy street city windows summer urban woman sun architecture facade boat canal warm bright culture local,1689,"A woman wearing yellow walks below Venetian architecture along a quiet canal with her shopping cart, past a blue and red boat in Venice, Italy   <a href=""http://www.apkphotography.com/"" rel=""noreferrer nofollow"">Portfolio</a> | <a href=""http://www.apkphotography.com/Pages/Prints"" rel=""noreferrer nofollow"">Prints</a> | <a href=""http://apkphotoblog.com"" rel=""noreferrer nofollow"">Blog</a> | <a href=""https://www.apkphotography.com/Pages/Newsletter"" rel=""noreferrer nofollow"">Newsletter</a>",2018-06-16 04:48:06,45.436165,12.347860,https://live.staticflickr.com/65535/49431011548_27de545ebb_m.jpg,Allison Kendall,95017264@N00,photo
49320619276,65535,f2f6ac4d1b,Florian,geo:lat=4543368743 geo:lon=1233818729 geotagged ita itália sanmarco veneto san marco famous place international landmark caffè florian venice italy europe southern italian culture architecture window house art door entrance decoration antique city facade horizontal color image group objects no people built structure indoors national local doorway redminote7,893,"VENEZA (Itália): Café Florian.  Cafè Florian, existe em Veneza desde 1720. É o café mais antigo do mundo, situado sob os arcos da Procuradoria Nova, na Praça de São Marcos.",2019-08-26 10:33:25,45.433686,12.338186,https://live.staticflickr.com/65535/49320619276_f2f6ac4d1b_m.jpg,vmribeiro.net,63281384@N00,photo
48125930971,65535,b0c4c4b1d1,mini cicchetti,local venice italy matteotagliapietra,131,"<a href=""https://www.ristorantelocal.com/"" rel=""noreferrer nofollow"">Local</a> Castello 3303, Venice, Italy +39 041 2411128  <a href=""http://www.foodforthoughtmiami.com"" rel=""noreferrer nofollow"">food for thought miami</a> twitter: <a href=""https://twitter.com/frodnesor"" rel=""noreferrer nofollow"">@frodnesor</a> instagram: <a href=""http://instagram.com/frodnesor"" rel=""noreferrer nofollow"">@frodnesor</a>",2019-06-07 15:18:04,45.435701,12.345918,https://live.staticflickr.com/65535/48125930971_b0c4c4b1d1_m.jpg,frodnesor,36209700@N02,photo
48125930881,65535,d1a0686227,sardine cracker,local venice italy matteotagliapietra,27,"<a href=""https://www.ristorantelocal.com/"" rel=""noreferrer nofollow"">Local</a> Castello 3303, Venice, Italy +39 041 2411128  <a href=""http://www.foodforthoughtmiami.com"" rel=""noreferrer nofollow"">food for thought miami</a> twitter: <a href=""https://twitter.com/frodnesor"" rel=""noreferrer nofollow"">@frodnesor</a> instagram: <a href=""http://instagram.com/frodnesor"" rel=""noreferrer nofollow"">@frodnesor</a>",2019-06-07 15:18:14,45.435701,12.345918,https://live.staticflickr.com/65535/48125930881_d1a0686227_m.jpg,frodnesor,36209700@N02,photo
48125930971,65535,b0c4c4b1d1,mini cicchetti,local venice italy matteotagliapietra,131,"<a href=""https://www.ristorantelocal.com/"" rel=""noreferrer nofollow"">Local</a> Castello 3303, Venice, Italy +39 041 2411128  <a href=""http://www.foodforthoughtmiami.com"" rel=""noreferrer nofollow"">food for thought miami</a> twitter: <a href=""https://twitter.com/frodnesor"" rel=""noreferrer nofollow"">@frodnesor</a> instagram: <a href=""http://instagram.com/frodnesor"" rel=""noreferrer nofollow"">@frodnesor</a>",2019-06-07 15:18:04,45.435701,12.345918,https://live.staticflickr.com/65535/48125930971_b0c4c4b1d1_m.jpg,frodnesor,36209700@N02,photo
