,id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
0,54164894397,65535,c91e3a76ca,"Barbecue Pool Side Lunch on Holland America Nieuw Amsterdam in Venice, Italy",hollandamerica nieuwamsterdam venice italy cruiseship lunch barbecue,270,,2010-10-06 11:49:51,45.437874,12.306790,https://live.staticflickr.com/65535/54164894397_c91e3a76ca_m.jpg,Joseph Hollick,31155442@N03,photo
1,52687363433,65535,1bea52e23a,Lunch in Venice,italy venice veneto canal lunch sanmarco pasta squidpasta iphone iphonography iphone12,95,A long weekend in Venice exploring and celebrating the new year.,2022-12-30 13:10:37,45.437588,12.338322,https://live.staticflickr.com/65535/52687363433_1bea52e23a_m.jpg,Miche & Jon Rousell,67132034@N03,photo
2,50168641033,65535,3d07e247de,lunch break,venice italy steps shade street rest tree lunch break relax chat dorsoduro bridge canal,702,,2019-09-29 11:54:08,45.430494,12.332241,https://live.staticflickr.com/65535/50168641033_3d07e247de_m.jpg,khrawlings,23808252@N00,photo
3,48549692662,65535,22a22ea49e,Come join me for lunch in Venice,venice robindemel italy grandcanal lunch blueskies yellows travel,610,"...around 12.30...and don't be late. You can tell it's raining yet again,when l'm having to dig through old archive shots...l think this shot was taken around 2009 when l was still youngish...However, l do love the composition and colours in this one.",2019-08-16 09:16:13,45.431030,12.331767,https://live.staticflickr.com/65535/48549692662_22a22ea49e_m.jpg,A delicate sound of thunder.,162118024@N05,photo
4,44806920545,4837,cda91d4193,"Lunch at Al Vecio Marangon, Venice",lunch bistro bar venice venezia italy holiday,332,,2018-03-20 14:29:12,45.431911,12.326025,https://live.staticflickr.com/4837/44806920545_cda91d4193_m.jpg,Kotomi_,23586209@N03,photo
5,30780415277,4848,67b1a90935,"Lunch at Al Vecio Marangon, Venice",lunch bistro bar venice venezia italy holiday,327,,2018-03-20 13:58:21,45.431908,12.326030,https://live.staticflickr.com/4848/30780415277_67b1a90935_m.jpg,Kotomi_,23586209@N03,photo
6,30780415277,4848,67b1a90935,"Lunch at Al Vecio Marangon, Venice",lunch bistro bar venice venezia italy holiday,327,,2018-03-20 13:58:21,45.431908,12.326030,https://live.staticflickr.com/4848/30780415277_67b1a90935_m.jpg,Kotomi_,23586209@N03,photo
7,40428616842,4658,894e70b2d6,Whole wheat pizza,italy 意大利 food eat yummy pizza flour bread cheese chanmelmel mel melinda melindachan restaurant cuisine meal dinner lunch tomato dish plate italian salad wpd24nature wpd24people wpd24animals wpd24abstract wpd24urban,1051,Italy 意大利,2018-02-12 20:12:21,45.435463,12.340022,https://live.staticflickr.com/4658/40428616842_894e70b2d6_m.jpg,MelindaChan ^..^,8945641@N02,photo
8,40428616842,4658,894e70b2d6,Whole wheat pizza,italy 意大利 food eat yummy pizza flour bread cheese chanmelmel mel melinda melindachan restaurant cuisine meal dinner lunch tomato dish plate italian salad wpd24nature wpd24people wpd24animals wpd24abstract wpd24urban,1051,Italy 意大利,2018-02-12 20:12:21,45.435463,12.340022,https://live.staticflickr.com/4658/40428616842_894e70b2d6_m.jpg,MelindaChan ^..^,8945641@N02,photo
9,26595394818,4618,5deb5d9ce6,Paccheri in White sauce,italy 意大利 paccheri whitesauce food eat pasta flour yummy chanmelmel mel melinda melindachan restaurant cuisine meal dinner lunch wpd24nature wpd24people wpd24animals wpd24abstract wpd24urban,686,Italy 意大利,2018-02-12 20:44:01,45.435469,12.340022,https://live.staticflickr.com/4618/26595394818_5deb5d9ce6_m.jpg,MelindaChan ^..^,8945641@N02,photo
10,31573616473,702,2561ee1766,Dinner in Venice,italy vacations architecture canal chairs clouds culture day destinations dining dinner europe gastronomy glass gourmet grandcanal hospitality lagoon little lunch meal mediterranean nobody outdoors private quay restaurant riverside romantic romanticdinner romantictable sea setting shore silverware sunset table tableset tablecloth tables tableware terrase tourism tourist traditional travel venice water waterside venezia veneto italia it,1149,"A romantic table set on the waterside in Venice, Italy.",2013-03-14 13:11:43,45.432441,12.335816,https://live.staticflickr.com/702/31573616473_2561ee1766_m.jpg,Dario Lo Presti,99128917@N06,photo
11,30754582416,5341,7eb5352e8f,Projet 365-3 - 064/365,venise repas lunch sandwich,211,Lunch time,2016-10-27 12:03:00,45.439253,12.334870,https://live.staticflickr.com/5341/30754582416_7eb5352e8f_m.jpg,Supernico26,30324371@N07,photo
12,26072858871,1720,ec4154c573,served by the gentleman,family venice italy food lunch shade rivadevin,181,The family together with papa at the Riva de Vin Venice,2015-06-10 13:56:51,45.439010,12.336294,https://live.staticflickr.com/1720/26072858871_ec4154c573_m.jpg,aguy4hiscamera,87391950@N05,photo
13,24743493409,1637,ee025af160,in the shade,venice lunch reflecting restaurant shade itlay oldgentleman,180,Gran Caffe Chioggia Venice,2015-06-10 12:31:02,45.439266,12.332131,https://live.staticflickr.com/1637/24743493409_ee025af160_m.jpg,aguy4hiscamera,87391950@N05,photo
14,18583548210,494,14a2235057,150527 VSOE-10_edit,food lunch vsoe vsoetrain,93,Lunch menu; lunch was served before our delayed departure from Venice.,2015-05-27 12:35:52,45.441359,12.320523,https://live.staticflickr.com/494/18583548210_14a2235057_m.jpg,meb287,25538034@N04,photo
15,16668501034,7722,f3468cf5cd,Seeing Venice,venice italy food lunch wine venezia raboso alvecioforner,149,,2015-04-20 13:30:20,45.430911,12.330055,https://live.staticflickr.com/7722/16668501034_f3468cf5cd_m.jpg,mhaithaca,79715083@N00,photo
16,17289087652,7695,29e5343caa,Seeing Venice,venice italy food lunch venezia alvecioforner,133,,2015-04-20 13:08:20,45.430825,12.329991,https://live.staticflickr.com/7695/17289087652_29e5343caa_m.jpg,mhaithaca,79715083@N00,photo
17,14564747275,3837,af9f086635,DSCN3368 lunch at 'Riviera' - amuse-bouche,venice italy food lunch restaurant italia venezia,94,                               ,2014-06-29 22:13:15,45.430661,12.321918,https://live.staticflickr.com/3837/14564747275_af9f086635_m.jpg,drayy,12303964@N00,photo
18,14541653436,2934,43fae2e3b1,DSCN3371 lunch at 'Riviera' - potatoes and scallop cream,venice italy food lunch restaurant italia venezia,115,                               ,2014-06-29 22:26:35,45.430661,12.321918,https://live.staticflickr.com/2934/14541653436_43fae2e3b1_m.jpg,drayy,12303964@N00,photo
19,14378120858,3836,93ff5083dd,DSCN3372 lunch at 'Riviera' - chitarucci with prawns and eggplant,venice italy food lunch restaurant italia venezia,189,                               ,2014-06-29 22:44:44,45.430661,12.321918,https://live.staticflickr.com/3836/14378120858_93ff5083dd_m.jpg,drayy,12303964@N00,photo
20,14584837393,2925,bd7beccdce,DSCN3370 lunch at 'Riviera' - bread,venice italy food lunch restaurant italia venezia,92,                               ,2014-06-29 22:15:25,45.430661,12.321918,https://live.staticflickr.com/2925/14584837393_bd7beccdce_m.jpg,drayy,12303964@N00,photo
21,14541653436,2934,43fae2e3b1,DSCN3371 lunch at 'Riviera' - potatoes and scallop cream,venice italy food lunch restaurant italia venezia,115,                               ,2014-06-29 22:26:35,45.430661,12.321918,https://live.staticflickr.com/2934/14541653436_43fae2e3b1_m.jpg,drayy,12303964@N00,photo
22,14378120858,3836,93ff5083dd,DSCN3372 lunch at 'Riviera' - chitarucci with prawns and eggplant,venice italy food lunch restaurant italia venezia,189,                               ,2014-06-29 22:44:44,45.430661,12.321918,https://live.staticflickr.com/3836/14378120858_93ff5083dd_m.jpg,drayy,12303964@N00,photo
23,14378120288,3923,4023aaf708,DSCN3373 lunch at 'Riviera' - Vie de Romans Pinot Grigio,venice italy food lunch restaurant italia venezia,105,                               ,2014-06-29 23:00:23,45.430661,12.321918,https://live.staticflickr.com/3923/14378120288_4023aaf708_m.jpg,drayy,12303964@N00,photo
24,8531149076,8385,ca7d3e2318,Calcina lunch,venice lunch giudecca lacalcina,439,"We booked a table right by the Giudecca Canal at La Calcina (where we'd stayed once) and had a lovely, long, sunny lunch. Good food and delicious Corvina wine. On our last day we also ate lunch in the sun, in a S. Croce campo.",2013-03-02 02:07:35,45.429125,12.327529,https://live.staticflickr.com/8385/8531149076_ca7d3e2318_m.jpg,chericbaker,57673765@N00,photo
25,8092208694,8196,3bf7f32c83,Mercado Central de Venecia,ocean life red food orange fish pez color cooking nature horizontal closeup dinner lunch photography cuisine japanese restaurant grande healthy marine colorful pieces dish natural image market sale eating good vibrant salmon tasty plate shrimp fresh meat gourmet alimento delicious mercado eat meal shellfish seafood appetizer pescado diet cooked scallop product crustacean boiled culinary freshness prepare gastronomy nutrition carpaccio nutritious ingredient nadie salmón naturalfood hechoencasa comidasybebidas industriadelapesca,1370,,2012-06-23 05:11:43,45.438927,12.335093,https://live.staticflickr.com/8196/8092208694_3bf7f32c83_m.jpg,oye chico,48676770@N06,photo
26,9278759102,5334,3d16fb28e2,Lunch in Venetië,venice lunch salad canalgrande canonpowershotsx1is,791,,2011-10-15 12:16:47,45.438251,12.318490,https://live.staticflickr.com/5334/9278759102_3d16fb28e2_m.jpg,hrunge,35817790@N04,photo
27,8531149076,8385,ca7d3e2318,Calcina lunch,venice lunch giudecca lacalcina,439,"We booked a table right by the Giudecca Canal at La Calcina (where we'd stayed once) and had a lovely, long, sunny lunch. Good food and delicious Corvina wine. On our last day we also ate lunch in the sun, in a S. Croce campo.",2013-03-02 02:07:35,45.429125,12.327529,https://live.staticflickr.com/8385/8531149076_ca7d3e2318_m.jpg,chericbaker,57673765@N00,photo
28,8531149076,8385,ca7d3e2318,Calcina lunch,venice lunch giudecca lacalcina,439,"We booked a table right by the Giudecca Canal at La Calcina (where we'd stayed once) and had a lovely, long, sunny lunch. Good food and delicious Corvina wine. On our last day we also ate lunch in the sun, in a S. Croce campo.",2013-03-02 02:07:35,45.429125,12.327529,https://live.staticflickr.com/8385/8531149076_ca7d3e2318_m.jpg,chericbaker,57673765@N00,photo
