id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
54919449460,65535,f95b430903,Campanile Shadow,l1001399sefexedwm campanileshadow stmarkscampanile piazzasanmarco venice venezia italy italia europe ©peterhall leica leicaq2 q2 summilux 28mmsummiluxf17asph 28mm wideangle prime square campanile plazza stmarkssquare window shadow symmetry building architecture nik silverefexpro2 blackandwhite blackwhitephotos bw monochrome travel tourist city cityscape urban,674,"Processed with Silver Efex Pro 2  Piazza San Marco, Venice, Italy",2025-10-06 09:10:30,45.434486,12.338300,https://live.staticflickr.com/65535/54919449460_f95b430903_m.jpg,peterphotographic,25937668@N08,photo
54910657272,65535,58934782f1,Electric Gondola,l1001543edcb2colourcrossedwm venice electricgondola venezia italy italia europe rialto grandcanal ©peterhall leica leicaq2 q2 summilux 28mmsummiluxf17asph 28mm wideangle prime canal gondola light electricity rialtobridge tourist travel city cityscape urban boat ship vessel water afterdark night nightlife dark,491,"Processed with CameraBag 2  The Rialto, Grand Canal, Venice, Italy",2025-10-06 19:32:54,45.437761,12.335779,https://live.staticflickr.com/65535/54910657272_58934782f1_m.jpg,peterphotographic,25937668@N08,photo
54891206202,65535,d48669836e,Gondolier,l1001752sqedborderwm gondolier grandcanal venice venezia italy italia europe ©peterhall leica leicaq2 q2 28mmsummiluxf17asph summilux wideangle 28mm prime canal gondola tourist travel candid portrait square,569,"Grand Canal, Venice, Italy",2025-10-09 11:01:06,45.431858,12.328698,https://live.staticflickr.com/65535/54891206202_d48669836e_m.jpg,peterphotographic,25937668@N08,photo
54888385898,65535,6032ae2829,St Mark's Campanile,l1001462borderedwm stmarkscampanile venice venezia italy italia horsesofsaintmark ©peterhall leica leicaq2 q2 28mmsummiluxf17asph summilux 28mm wideangle prime campanile horse sculpture city cityscape urban travel tourist belltower basilica stmarkssquare,495,"With one of the Horses of Saint Mark  From St Mark's Basilica, Venice, Italy",2025-10-06 13:31:53,45.434433,12.339373,https://live.staticflickr.com/65535/54888385898_6032ae2829_m.jpg,peterphotographic,25937668@N08,photo
54888385898,65535,6032ae2829,St Mark's Campanile,l1001462borderedwm stmarkscampanile venice venezia italy italia horsesofsaintmark ©peterhall leica leicaq2 q2 28mmsummiluxf17asph summilux 28mm wideangle prime campanile horse sculpture city cityscape urban travel tourist belltower basilica stmarkssquare,495,"With one of the Horses of Saint Mark  From St Mark's Basilica, Venice, Italy",2025-10-06 13:31:53,45.434433,12.339373,https://live.staticflickr.com/65535/54888385898_6032ae2829_m.jpg,peterphotographic,25937668@N08,photo
54887049712,65535,6650c20465,Servizio Gondole,l1001408edborderwm serviziogondole rivadeglischiavoni venice venezia italy italia europe ©peterhall leica leicaq2 q2 summilux 28mmsummiluxf17asph prime 28mm wideangle street streetphotography candid gondola gondolier tourist travel city cityscape citylife urban canal,656,"Riva Degli Schiavoni, Venice, Italy",2025-10-06 09:27:43,45.433326,12.340393,https://live.staticflickr.com/65535/54887049712_6650c20465_m.jpg,peterphotographic,25937668@N08,photo
54887049712,65535,6650c20465,Servizio Gondole,l1001408edborderwm serviziogondole rivadeglischiavoni venice venezia italy italia europe ©peterhall leica leicaq2 q2 summilux 28mmsummiluxf17asph prime 28mm wideangle street streetphotography candid gondola gondolier tourist travel city cityscape citylife urban canal,656,"Riva Degli Schiavoni, Venice, Italy",2025-10-06 09:27:43,45.433326,12.340393,https://live.staticflickr.com/65535/54887049712_6650c20465_m.jpg,peterphotographic,25937668@N08,photo
54875418597,65535,135b727f5b,Venice Reflections,l1010004edborderwm venicereflections grandcanal venice italy venezia italia europe ©peterhall leica leicaq2 q2 summilux 28mmsummiluxf17asph 28mm prime wideangle reflection canal boat tourist travel bridge accademia salute church,555,"Grand Canal, Venice, Italy",2025-10-09 12:29:07,45.431858,12.328698,https://live.staticflickr.com/65535/54875418597_135b727f5b_m.jpg,peterphotographic,25937668@N08,photo
54493394126,65535,02520f9cf7,In the old town of Venice,architecture attraction boat brick canal city europe european gondola gondolier historic italian italy landmark landscape old tourism tourist touristic town traditional transport travel urban venetian veneto venezia venice veniceitaly water,14,"One of the streets in Venice, a city in northeastern Italy and the capital of the Veneto region.",2008-08-29 16:33:33,45.438822,12.323602,https://live.staticflickr.com/65535/54493394126_02520f9cf7_m.jpg,lev.v.levin,202735273@N07,photo
54380433811,65535,51fc072b96,"S. Marco Basilica, Venice, Italy",basilicacattedralepatriarcaledisanmarco byzantinearchitecture italobyzantinearchitecture patriarchalcathedralbasilicaofsaintmark piazzasanmarco sanmarcosbasilica stmarksbasilica veneto venezia architecture basilica building church citytownurban cityscape crowd day daytime destination dome facade famousplace heritage history holiday holidays landmark outdoorexterioroutdoors people sanmarcosquare tourism tourist tourists vacation venice visiting visitor visitors venecia italia,22,"S. Marco Basilica, Venice, Italy",2018-12-24 16:25:19,45.434266,12.338813,https://live.staticflickr.com/65535/54380433811_51fc072b96_m.jpg,Felipe Rodríguez Fotografía,8321055@N02,photo
54380006462,65535,1e15379edb,"anti Giovanni e San Paolo, Venice",gothic italia veneto venezia ancient architecture art basilica building buildings castello church city cityscape classical culture day daytime destination equestrian facade heritage historic hospital landmark monument outdoors pedestrian plaza publicspace renaissance sanzanipolo santigiovanniepaolo scenic sky square statue stone street tourism tourist town travel urban venice verrocchio,31,"San Zanipolo (Santi Giovanni e San Paolo, in Venetian dialect) hospital (left, Renaissance) and Basilica (right, Gothic), with the statue of the Condottiero Colleoni (15h Century) on the foreground. Castello quarter, Venice, Italy",2023-12-31 14:48:51,45.439258,12.341538,https://live.staticflickr.com/65535/54380006462_1e15379edb_m.jpg,Felipe Rodríguez Fotografía,8321055@N02,photo
54257151920,65535,548eed1b0f,Gondolier and photographer,biancoenero blackandwhite blackwhite bnw bw europa europe menschen monochrome nb negroyblanco noiretblanc people photographiehumaniste schwarzweis street streetfotografie streetphotography sw whiteandblack whiteblack italia italien italy italybw norditalien venedig venetien veneto venezia venice canal canalgrande pontedellaccademia gondel gondoliere gondolier photographer fotograf fotografie fotografieren liebespaar paar couple scene szene wasser water spiegelung spiegelungen reflected reflecting reflection reflections reflet reflexion reflexionen reflexions kanal tourism tourismus tourist touristen blackwhitephotos wolframbiermannzeitler,1482,"Scene on the Grand Canal at the Ponte dell'Accademia, Venice Veneto, Italy 10.08.2021",2021-08-10 18:51:47,45.431783,12.328956,https://live.staticflickr.com/65535/54257151920_548eed1b0f_m.jpg,Wolfram Biermann-Zeitler,147123366@N06,photo
54175879972,65535,54831fcce9,"Tourists at St. Mark's Square, Venice, Italy",venice italy saintmarkssquare stmarkssquare people tourist gondola,209,"This picture was taken as our cruise ship, the Holland America Nieuw Amsterdam, very slowly cruised past the island of Venice.",2010-10-07 08:10:47,45.433300,12.339802,https://live.staticflickr.com/65535/54175879972_54831fcce9_m.jpg,Joseph Hollick,31155442@N03,photo
54131201354,65535,655c302268,Fuzzy bokeh,horizontal outdoors people oneperson woman curlyhair afro view grandcanal dof depthoffield focusonforeground backgroundblur bokeh tourist basilicasantamariadellasalute canal pontedell’accademia water bridge sea lagoon venetianlagoon houses buildings background colour color travel landscape tourism travelling september2022 vacation canon 5dmkiv camera photography venice italy europe,93,"View of the Grand Canal and the Basilica Santa Maria della Salute from Ponte dell’ Accademia in Venice, Italy",2022-09-07 15:53:57,45.431758,12.328972,https://live.staticflickr.com/65535/54131201354_655c302268_m.jpg,Elios.k,33057199@N03,photo
54117757497,65535,00bcd52dfe,Venezia,italia italian italy europe european veneto island canals canal street travel tourism medieval renaissance old historic waterway boat boats vessel gondola gondolas gondolier gondoliers boatman boatmen architecture rustic charming people candid outdoor outdoors outside tourist tourists,392,"Gondolier steering a gondola with passengers down a narrow canal in the lovely city of Venezia (Venice), Italy.",2022-10-17 11:01:22,45.439400,12.336225,https://live.staticflickr.com/65535/54117757497_00bcd52dfe_m.jpg,thekeithproject,199712577@N03,photo
53847568095,65535,20b86976cf,Panoramic view to the city of Venice from high tower,landscape venice aerial architecture building buildings city cityscape landmark liner monument old panorama panoramic roof scene shoreline sky skyline tourism tourist tower town travel urban waterfront italy,138,Panoramic view to the city of Venice from high tower,2024-05-13 17:45:13,45.433980,12.338966,https://live.staticflickr.com/65535/53847568095_20b86976cf_m.jpg,Romeo Ninov,25856401@N00,photo
53836484609,65535,84901538d2,So named bridge of Sighs in Venice,bridgeofsighs venice ancient architecture brick bridge building buildings canal channel city cityscape exterior famous historic history house landmark old river sky stone street tourism tourist town travel urban water italy,362,So named bridge of Sighs in Venice,2024-05-13 17:16:27,45.433688,12.341016,https://live.staticflickr.com/65535/53836484609_84901538d2_m.jpg,Romeo Ninov,25856401@N00,photo
