id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
54735275472,65535,3a74eb914e,Boat Tazi,city citylife europe italy travel urban venice outdoors traveldestination vacation,172,Headed towards the Grand Canal and the Plaza San Marco.  What a life!,2025-07-17 04:09:12,45.437945,12.328250,https://live.staticflickr.com/65535/54735275472_3a74eb914e_m.jpg,Steve Starer,21044097@N00,photo
54731140259,65535,3db15f5dcc,Venezia,italy italia venezia venice vacation,40,"My first time in Venice. Stunning city, incredible food, beautiful weather. Only spent two days here but absolutely need to come back",2023-07-04 21:29:06,45.441041,12.322861,https://live.staticflickr.com/65535/54731140259_3db15f5dcc_m.jpg,thegarybravo,202988504@N03,photo
54731083734,65535,6fd8fd8032,Venezia,venice venezia italy italia vacation holiday,33,"My first time in Venice. Stunning city, incredible food, beautiful weather. Only spent two days here but absolutely need to come back",2023-07-04 10:52:31,45.440257,12.330069,https://live.staticflickr.com/65535/54731083734_6fd8fd8032_m.jpg,thegarybravo,202988504@N03,photo
54730395705,65535,c4eacf662b,"Fondamenta del Gaffaro, 3533",city citylife europe italy travel urban venice bucketlist outdoors traveldestination vacation,143,Period Pieces for a Period Place. Venice,2025-07-16 13:37:53,45.436963,12.321568,https://live.staticflickr.com/65535/54730395705_c4eacf662b_m.jpg,Steve Starer,21044097@N00,photo
54730395705,65535,c4eacf662b,"Fondamenta del Gaffaro, 3533",city citylife europe italy travel urban venice bucketlist outdoors traveldestination vacation,143,Period Pieces for a Period Place. Venice,2025-07-16 13:37:53,45.436963,12.321568,https://live.staticflickr.com/65535/54730395705_c4eacf662b_m.jpg,Steve Starer,21044097@N00,photo
54726412992,65535,ea63f84ff9,The Ponte Marcello,bridge city europe italy travel urban venice bucketlist outdoors traveldestination vacation,215,"This part of Venice is laced with bridges, but there are no large crowds climbing all over them. You need to duck going under these things. It has to be a labor of love to maintin the city and its infrastructure.",2025-07-16 05:16:36,45.436613,12.322711,https://live.staticflickr.com/65535/54726412992_ea63f84ff9_m.jpg,Steve Starer,21044097@N00,photo
54721691086,65535,5bcf4e3d45,"For Every Lock, There's a Key",city europe italy travel urban venice bucketlist traveldestination vacation,171,"A collection of door knobs, locks and keys in a shop window in Venice.",2025-07-16 04:47:11,45.437338,12.321200,https://live.staticflickr.com/65535/54721691086_5bcf4e3d45_m.jpg,Steve Starer,21044097@N00,photo
54713635632,65535,57097d9564,Aperol for the Win,city dog europe italy people pet travel venice bucketlist peoplewatching traveldestination vacation,308,"We loved Venice. Food, people, their pets, and Aperol Spritz. Lots of pets and Aperol Spritz....At the Campo dei Tolentini in Venice",2025-07-16 03:15:06,45.437705,12.321315,https://live.staticflickr.com/65535/54713635632_57097d9564_m.jpg,Steve Starer,21044097@N00,photo
54682791545,65535,03342ce94e,Neighborhood Watch,city europe italy people travel venice outdoors peoplewatching traveldestination vacation,312,"We hit the Hotel Papadopoli in Venice about 9 and shortly after we were out and about. There are tons of little bridges to shoot from without a ton of people, but also some nice streets loaded with places to see and most important, to eat and drink! Caught this native on the balcony surveying the tourists and oogling  every now and then",2025-07-16 11:20:07,45.436567,12.322915,https://live.staticflickr.com/65535/54682791545_03342ce94e_m.jpg,Steve Starer,21044097@N00,photo
54468639213,65535,e8c27519e0,Next please,venezia venice italy gondola tourism trip vacation boat italia canale street canon tradizioni,837,"Venice is a wonderfully dying city, like all the major attractions in Italy. We are losing the traditions, the excellences that flourished in every urban agglomeration to unbridled consumption. What a pity.",2025-03-21 17:35:36,45.439408,12.327964,https://live.staticflickr.com/65535/54468639213_e8c27519e0_m.jpg,gidima,46143221@N07,photo
54411153844,65535,94ae69d78b,Venice - View from St Mark's Campanile,canon eos 6d 6 d mark ii ef 70 200 70200 f4 f 4 l usm voyage travel travelling reise vacation urlaub italien italia veneto venetien venezien venezia venice venise venedig st saint marks campanile markus markusturm turm tower san marco,862,Venedig - Aussicht vom Markusturm,2022-10-06 17:16:21,45.434219,12.339338,https://live.staticflickr.com/65535/54411153844_94ae69d78b_m.jpg,Michael.Kemper,133876835@N08,photo
