place_id,place_titl,avg_sentim,review_cou,lat,lng,geometry,x_3857,y_3857,fid,place_id_2,place_ti_1,latitude,longitude,resident,tourist,total_revi,resident_r,tourist_ra
ChIJ-6E3ZMWxfkcRd4cCWPhkN5o,Caffe Dei Frari,0.948300000000000,"6",45.437334499999999,12.327251499999999,POINT (12.3272515 45.4373345),1372263.359860617667437,5690635.633443728089333,4,ChIJ-6E3ZMWxfkcRd4cCWPhkN5o,Caffe Dei Frari,45.437334499999999,12.327251499999999,"6","10","16",0.375000000000000,0.625000000000000
ChIJ01BjfdCxfkcRlnsWjSs7NtU,Al Vecio Canton,0.985000000000000,"1",45.435975700000000,12.342549200000001,POINT (12.342549199999999 45.4359757),1373966.292034926125780,5690420.069118641316891,12,ChIJ01BjfdCxfkcRlnsWjSs7NtU,Al Vecio Canton,45.435975700000000,12.342549200000001,"1","7","8",0.125000000000000,0.875000000000000
ChIJ03wUaMaxfkcR8U1wvAXc-cs,Trattoria Pizzeria San Toma',0.963633333333334,"3",45.436024400000001,12.327000099999999,POINT (12.3270001 45.4360244),1372235.374140632338822,5690427.794950823299587,14,ChIJ03wUaMaxfkcR8U1wvAXc-cs,Trattoria Pizzeria San Toma',45.436024400000001,12.327000099999999,"3","5","8",0.375000000000000,0.625000000000000
ChIJ0TUq0MSxfkcRoeISOD1A4ps,Trattoria Antiche Carampane,0.956100000000000,"2",45.438652500000003,12.331109600000000,POINT (12.3311096 45.438652499999996),1372692.841588047100231,5690844.730087378062308,17,ChIJ0TUq0MSxfkcRoeISOD1A4ps,Trattoria Antiche Carampane,45.438652500000003,12.331109600000000,"2","6","8",0.250000000000000,0.750000000000000
ChIJ0XV8_NmxfkcRCh2nR-5OjGM,Trattoria le Colonete,0.981100000000000,"1",45.435243000000000,12.337014300000000,POINT (12.3370143 45.435243),1373350.149785334477201,5690303.833429778926075,19,ChIJ0XV8_NmxfkcRCh2nR-5OjGM,Trattoria le Colonete,45.435243000000000,12.337014300000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJ0aFM2dCxfkcRwJXerh4XVQc,FERRAGAMO Venice Store,0.939500000000000,"1",45.432899900000002,12.335295000000000,POINT (12.335294999999999 45.432899899999995),1373158.758184813428670,5689932.133660969324410,21,ChIJ0aFM2dCxfkcRwJXerh4XVQc,FERRAGAMO Venice Store,45.432899900000002,12.335295000000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJ0aMhWsKxfkcR5qtwuNrNGDw,Trattoria Della Maddalena,0.966600000000000,"1",45.443565100000001,12.330599299999999,POINT (12.3305993 45.4435651),1372636.035251895431429,5691624.141991205513477,22,ChIJ0aMhWsKxfkcR5qtwuNrNGDw,Trattoria Della Maddalena,45.443565100000001,12.330599299999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJ0c1CtrmxfkcRZvnl2JFuud4,Intesa Sanpaolo S.p.A.,-0.458800000000000,"1",45.437298200000001,12.319633100000001,POINT (12.319633099999999 45.4372982),1371415.283451958326623,5690629.874629556201398,23,ChIJ0c1CtrmxfkcRZvnl2JFuud4,Intesa Sanpaolo S.p.A.,45.437298200000001,12.319633100000001,"1","7","8",0.125000000000000,0.875000000000000
ChIJ0ebQM9ixfkcRDTR5teRWxMo,All'Angelo Art Caf¨?,0.926700000000000,"2",45.435726099999997,12.339912999999999,POINT (12.339913 45.4357261),1373672.831593296723440,5690380.472350350581110,25,ChIJ0ebQM9ixfkcRDTR5teRWxMo,All'Angelo Art Caf¨?,45.435726099999997,12.339912999999999,"2","6","8",0.250000000000000,0.750000000000000
ChIJ1RJuVPCxfkcREhdHIabY_4M,Pizzeria Trattoria Conca D'Oro,0.351366666666667,"6",45.435141100000003,12.341305100000000,POINT (12.3413051 45.435141099999996),1373827.799456430133432,5690287.668110947124660,30,ChIJ1RJuVPCxfkcREhdHIabY_4M,Pizzeria Trattoria Conca D'Oro,45.435141100000003,12.341305100000000,"6","10","16",0.375000000000000,0.625000000000000
ChIJ20nF8DCufkcRig79nN4RFr0,Il Bello Delle Donne - Parrucchiera,0.000000000000000,"1",45.431127300000000,12.356908499999999,POINT (12.3569085 45.4311273),1375564.761999073904008,5689650.945924295112491,31,ChIJ20nF8DCufkcRig79nN4RFr0,Il Bello Delle Donne - Parrucchiera,45.431127300000000,12.356908499999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJ30OM4cCxfkcRhhW2TOfXnWA,La Lista Venezia,0.985100000000000,"1",45.442632400000001,12.324177400000000,POINT (12.3241774 45.4426324),1371921.152613970451057,5691476.158617175184190,40,ChIJ30OM4cCxfkcRhhW2TOfXnWA,La Lista Venezia,45.442632400000001,12.324177400000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJ3Q5kMWGxfkcR4fo9rJXId18,Caffe Aurora,0.915933333333333,"6",45.433788300000003,12.338706300000000,POINT (12.3387063 45.433788299999996),1373538.502363756531850,5690073.063974924385548,41,ChIJ3Q5kMWGxfkcR4fo9rJXId18,Caffe Aurora,45.433788300000003,12.338706300000000,"6","10","16",0.375000000000000,0.625000000000000
ChIJ3SGHKkyxfkcRnA9Gwu-N5dU,Pasta Go ? Espresso,0.131550000000000,"2",45.436676300000002,12.339972700000001,POINT (12.339972699999999 45.436676299999995),1373679.477366897277534,5690531.213867953978479,43,ChIJ3SGHKkyxfkcRnA9Gwu-N5dU,Pasta Go ? Espresso,45.436676300000002,12.339972700000001,"2","6","8",0.250000000000000,0.750000000000000
