place_id,place_title,avg_sentiment,review_count,lat,lng,geometry,x_3857,y_3857
ChIJ--1e-luvfkcRBdKpK0JtAiA,Prebateo,0.4355,10,45.4355861,12.3453558,POINT (12.3453558 45.435586099999995),1374278.7213177865,5690358.262701214
ChIJ-0AUBqmxfkcRUZrym8diCjU,Super Zaz¨¤ - Comic Shop and Vegan Bar,0.7896857142857143,14,45.437368,12.3204793,POINT (12.320479299999999 45.437368),1371509.4820050676,5690640.948055135
ChIJ-0Lez3hiwokRyWaRo3Qw0Ks,Northwell Health,-0.5719,1,40.7539312,-73.7083135,POINT (-73.7083135 40.7539312),-8205171.926050972,4976114.043681498
ChIJ-0gENwCxfkcRq5KsSZ142x0,Fusina Restaurant,-0.2701125,8,45.4202618,12.2565422,POINT (12.2565422 45.4202618),1364392.036590269,5687927.543382444
ChIJ-4jbbQCxfkcRIACAnfq5_Jo,Fish market,-0.081025,4,45.440379,12.3159547,POINT (12.315954699999999 45.440379),1371005.8058370245,5691118.641388385
ChIJ-6E3ZMWxfkcRd4cCWPhkN5o,Caffe Dei Frari,0.9483,6,45.4373345,12.3272515,POINT (12.3272515 45.4373345),1372263.359860618,5690635.633443728
ChIJ-6fKyyC0fkcRtm3qVQtyvs8,Trattoria Belvedere,0.2115166666666666,12,45.4766883,12.231101,POINT (12.231100999999999 45.4766883),1361559.935161099,5696881.098380712
ChIJ-Y0oyMWxfkcR7QIwLAEhQoc,Campo San Stin,0.0825999999999999,10,45.4379975,12.3268917,POINT (12.3268917 45.437997499999994),1372223.3071078302,5690740.815742758
ChIJ-aUb-u6xfkcRmEK5Dpevakw,Despar,0.6711833333333334,12,45.4361498,12.3392635,POINT (12.3392635 45.436149799999995),1373600.5295840267,5690447.688602776
ChIJ-zM-I8KxfkcRD-Aamsp_q7s,Goppion Caffetteria,0.64025,16,45.4440395,12.3286918,POINT (12.3286918 45.444039499999995),1372423.6933232073,5691699.411840179
ChIJ01BjfdCxfkcRlnsWjSs7NtU,Al Vecio Canton,0.985,1,45.4359757,12.3425492,POINT (12.342549199999999 45.4359757),1373966.2920349261,5690420.069118641
ChIJ03wUaMaxfkcR8U1wvAXc-cs,Trattoria Pizzeria San Toma',0.9636333333333336,3,45.4360244,12.3270001,POINT (12.3270001 45.4360244),1372235.3741406323,5690427.794950823
ChIJ04eNJOmvfkcRG6Py76eHhSM,Acquerello Restaurant Venice,0.2966285714285714,7,45.412185,12.3352132,POINT (12.3352132 45.412185),1373149.6522504666,5686646.678000152
ChIJ0R47P1WxfkcRc7Tit9CJS4I,Muschieri Venezia flagship store,0.0037,16,45.4343128,12.3361901,POINT (12.3361901 45.4343128),1373258.4002610226,5690156.268471742
ChIJ0TUq0MSxfkcRoeISOD1A4ps,Trattoria Antiche Carampane,0.9561,2,45.4386525,12.3311096,POINT (12.3311096 45.438652499999996),1372692.8415880473,5690844.730087378
ChIJ0X82SduxfkcR9IV-rzV2xTk,Ostaria al Garanghelo,0.9896,1,45.4393384,12.3327168,POINT (12.3327168 45.4393384),1372871.7542736502,5690953.547943674
ChIJ0XV8_NmxfkcRCh2nR-5OjGM,Trattoria le Colonete,0.9811,1,45.435243,12.3370143,POINT (12.3370143 45.435243),1373350.1497853345,5690303.833429779
ChIJ0aFM2dCxfkcRwJXerh4XVQc,FERRAGAMO Venice Store,0.9395,1,45.4328999,12.335295,POINT (12.335294999999999 45.432899899999995),1373158.7581848134,5689932.133660969
ChIJ0aMhWsKxfkcR5qtwuNrNGDw,Trattoria Della Maddalena,0.9666,1,45.4435651,12.3305993,POINT (12.3305993 45.4435651),1372636.0352518954,5691624.1419912055
