place_id,place_title,gps,rating,date,title,name,review,images,likes,local_guide,label,lat,lng,geometry,sent_neg,sent_neu,sent_pos,sent_compound,sent_label,x_4632,y_4632,x_3857,y_3857
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",5,a week ago,,Rachel Aguilar,"Amazing experience here! I highly recommend it. We had wonderful timely service by the wait staff. The drinks were great (old fashion,  whiskey sour and cosmo) and all the food we tried was so good (the ravioli, the larded beef and the pasta was all so good). Also, the tuna tartare was really great.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38tfzcFFYr87EXfCzmxsNZ0g5lHtG31JEvr4Q9t1bFba4sGjvpG20yN78KJf5CfUckrlSgnjbk_-okUXNncKBd_ljKCUJcseP5rZPaLbWlG4JWb0L2DHMrOubUW06PtnXQ-pdlyZpUapmEuI', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vrdmfJaj1U2l1xffw5Snqw2qo3FMD-2-xc5P9rHkPDxtotOhwZddD6qlEKpLvJpCCgs_jAolLWN-awsIBsucRvRHLkz5Yh8ewtTTvCgMkvx4ypc8umZ_qgMJ2j4-efGOnwJ7jophVIViM', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uyyX4hjuZGjqfW9OOJtAjPbw02mXwJNXERTC6xf-0l3-G_NvJL_4ec4cS6UfwL1-q_Csk9iWAVdQunqmLMFdYCD7_dVt0hClEMR_YT-XJtV5CxSLT_gFXv4dZhUURujYvARzCBQsaEGceK', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uZpPD-BxVJ06OOqy_kU6nvcr2NkUTyvgaMd6_6lILbTSQsVQ7Po5tp9fKftTaDi4Zw-ZGQrh3rRPIdpVibiawWT71Rd_cdGLOMse575rh1cBucWnCDz_xFxaJD0CfACZPckRrZKByYFBk', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tpxr976CrtHvcEUQX1qhs2Zw7SzazTbOCzTpH1E5ePVMUM2qLYxd7gjWuEuS9UvwoGLKfj9HBw4A92f0AnRhDxd6AxJvpEpZ6dTGurNjSFA-YuMAMIHVn2HeA4BO0TjBmw_CQFsK6AG7k']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.0,0.639,0.361,0.981,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",4,a month ago,,Tiffany Sloan,"Overall, we had a lovely dining experience at Impronta. The gluten-free fish appetizer was beautiful! One of my favorite dishes ever. The gf pasta dishes were delicious but very salty. The pasta with cuttlefish in black ink was so salty that I wasn¡¯t sure if it was a mistake or the nature of the dish. The panna cotta was simple and elegant. It was a wonderful atmosphere with great service. I would definitely return, but I¡¯d avoid the pasta due to salt.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38vGZtGf6-V635ngAmTybPFDn_mGr7aFax6ScyV5nNfFT7vYCz6bPp3gzbgwTkdF9zShfN-2aIqw9L0U15KmnFzNUaIdGfq3UHz6BrH7r1o8TmiKE_FyX7ycFdf1WhFr1tAdnzGDA6dYTFtR', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uXReP90A_25l2C3IlNyry9DxgqpXL7cYEPimxKFLiGwxefN_46guH6_uWGS253w0zXljYHxZrguelchCcdlLjas_rZXY06Hicg0VKRyqUYqDcXlFIppqYC5V-cXBPeQNuhq0TkH4UdIJkd', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38s6vFuZK-bzTTS3-VHTfhJ2D0oEho6XPh3HEuFrtG9vOaCgVvOVC04tzoLJTNuHFmoJDSS8LkUbYbrHRxeZINXxc-Z-4qUNxFq3L_L31Foh0eojhEqv0fjVNaJ6-wUJI0FnJyLQHQ1V2ejY', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38t5-pDvTjumBQTJW4IjcM-73zN2tkJymOvpl3qlYQ7BmOApLuRqzeEQn8PanKGrsMO5lbybgNIrfZO1afbxaxv6TOmc2JzqalEi5HV2A20C8D1ESqDoFy3sfyrZF2B64IOp8KIOzvl7ePOv']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.055,0.659,0.286,0.9775,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",5,a month ago,,Yeow Yang Neo (YY),"We had dinner here and everything was amazing. The black thin tagliatelle with seafood sauce and the baked sea bass were both super tasty and perfectly cooked. The tiramisu was heavenly and honestly one of the best we have ever had. I also tried the grapefruit spritz, which was smooth and really refreshing.

The place has a nice cozy vibe and the staff were friendly and attentive. Highly recommend!","['https://lh3.googleusercontent.com/geougc-cs/AMBA38tKvFdZiui5kox2bGixiFRPf3ITlaG-LRJMenlNTGiQ5LiMzfKiRh6mW_crv6Ro4nzNkYb7Ch4VGNCnhJoJIlHbmek2XA-i49_iv3Mc-6TduUKbNdZaKLHP6D3T1S2SRf0mUH181VDapw4z', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38v9eszsJya_-5UsX-uJx6d13Z1CoBAZle5zRqx5ptIOUvW_DujeeJVnm2o4Qn_hqS2WoF-oZK1iUDFhTqLTFodddkovyDI_4ycrW_eZaCigbBr5d8Wd-oh6GsI4rYCeQiwaWqpA1y-tzwE', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38s1BmPrT5767LhgwO09Bb2jM5aLEk50w75es6AJ-bw9k9XKAp6zjbQYZ_6a9JNmFuq2-vyrP2hSvxao0Aw-1prJ-8HsbPfj9whuRbOlkNxufSB0j0GWyLIYOpO-Vdvz8y_HQ-09PlzgO54', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vmczuCHUbEmPrfeDb5vCHZie8ZP4ZSHMThJ3FyvkVJ0XwTXrD5D_EnUxrouD8pSM8NifApoz8_RknzBiv5UQ3x70KROHiImrptn7C7sc1J339VMtqsIY7PlvZ38F0nVy3QqyAqpqmGs4ZC', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uEGlSbyyuSJmyVseRMtJDGMqPlWEb4nOf7VL-qGoFGlZGsNOtsUAjDSI9L5dOHn5JkAO0rknVWEVJJ010cGXGkGzS9KHyqeI4yYCk2HnwWXTzD_ul24mk-9_OmqQaAz6C4FQDBycox5mPf']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.0,0.651,0.349,0.9863,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",5,2 months ago,,Diana Lacramioara,"I had a wonderful experience at this restaurant. The food was truly delicious and full of flavor. I ordered the mixed fried fish, which was perfectly cooked, crispy, and very fresh. To go with it, I had a glass of prosecco that was light and refreshing, pairing really well with the seafood. For dessert, I tried both the tiramisu and the panna cotta. The tiramisu was rich and creamy, full of authentic taste, and the panna cotta was absolutely amazing - so smooth and delicate. The atmosphere was warm and inviting, and the service was friendly. Overall, it was a really enjoyable evening, and I would definitely recommend this place to anyone who loves great food and a cozy dining experience.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38tkS3cljMP5x6QMDlH2vZt1hbrw5-L77lo89FUzI5Xl0uP7lzEERs66WVcD5JKhTwzAZJnIKMH6RnpnLkIGu3ARDmuAWTfT8yVzfF0UQDJ5_8hf18aCuhG-wKuG_n_LlnQKuHWlqCLS_rP8', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tOgcYdPbH_yRfuvpL-HLFvk4Im0KpbSgDeRv1Zidopquc8_RdDW8v5fuHIM5kYC3t2mxS784kL26-YcbVvOZmqo32pWyHaW2lhAp24xOs_DSRQgwPyv0C-B-JA98yOHdeOsiGnR-iRsqY', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vPR0TLQ6r1LkMzxFt1AwU6W-gqb5KA4pLx_QkEiyPC9aIveCc_T32pg3GKVadFDGU5LnukJARaWT8gez9630kMF1o50fYDYXtolsykp16ZqdIQlycj6DHs67W0uyj1b3UJn9M8aKe3IvE8', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vU9q989FOS1uCkTtDElsUdINvnJWhY1fHrT9YNm1fTce_0VPhvFYJkojDe2CWrokCcH8hqi5_zvRLcSnF5e4a2gEpojMddD6B4g1IJabaKWWBqoeZYYDhXmK-KK8ejWe6z6c0y9goLTj69']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.0,0.666,0.334,0.994,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",5,a month ago,,Bridgette Delva,"Amazing food, atmosphere and service. We are visiting from the US and the restaurant was recommended by the owners of our hotel.

Their menu is delectable and everything is fresh & hand crafted. I highly recommend the mixed fish appetizer, it was phenomenal. I had the ricotta ravioli and my husband had the black ink tagliatelle. We finished with the carpaccio pineapple dish and a complimentary tiramisu. We were stuffed by the end however the dishes were so good, we had to finish! This is a must try. Nikola was the most polite, patient and knowledgeable server - be sure to ask for him!","['https://lh3.googleusercontent.com/geougc-cs/AMBA38vslqGAOM46B9kgnBv6-ajiMXfI9My-ZqzLPhwC0c7LDFCAlAWpbhAUUNHw74bTW8Kw6G9jPcyichWTitCpljo6c_sHikcHMkj0VpG3X9FmH5ClznVbKPDEbE0x51Ypfgr49ohH-MsBknwc', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38u1BRIoYdjbb2ABNxdbvRWOV1iUYbnrXKJ3e1OhIh7Gcy_nEMIT_z_tiJ0qCS4c1QRgCzMfczHEhI08eICDhh_jJgPLEOVd4sXnq6jXHLhg5iJokIjlV5xoWUzKffcSOeIVhjxZhoH-xhjN', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tZsWVPcCkZrPfovZxDEUNW8a_vLEiFZ6qtg0YguUIquGhp7YJgVFtgpc2ISVe2-KvKT6Ovtu4ZCy2uiTQuWzNFQrbvIskEvFxcUNak_dtXWmSHu2HYxLGbTahtbSMEFOBbF1WrH-eyH71U', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38sSDKRRl_11Q292_5p5jyhWXcb-70i4eLGbKRvmRHqXvQ5R2owqFnYHXJyllVvMMw_pDybWfCOPo7I2qOYnzb0dSLwRarUaCLxru1Lz1kSN1cvJJyqsWbW3AGhc1h_-1PlDQE7ytgxKTd4R']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.0,0.777,0.223,0.9784,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",5,a month ago,,Kristel Chan,"My boyfriend and I truly enjoyed our meal at Impronta. Tuna tartare, lobster pasta, ravioli were all excellent. Our kind server even offered us an extra pasta for us to have a taste as I have asked about it during the ordering. We even ended our meal with pork chops. Pork chops were tenderly cooked, despite expecting normal ¡°fries¡±, their version of crispy potato was indeed a better fit for the dish itself.

We lost a point in food because we really didn¡¯t like the cod fish appetizer with onion ice cream. However, it¡¯s likely more a personal preference than anything else.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38sQD-47Zm76QlXdJIXWTr1l88u1yaLQfX9u56X464mC4bRG7nAYWkl6LOnrlqYycwWcbclH5Uo119NDpH7MEW4UDQ9TqJdGXKdPMEQu8Or9Fxv2xisk5qPgZDbjBtAzpHzzzMMph4JPwqc', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38thqQqsA6nmRBQ8H2LgeBd7zr3oiqBk9OrsLdFggfJHcbBftWx06N8njjMsPLeD4J2b-IdqSh2hQQvthp8D153RoedDyQIMHndeO-wi0A2yseSo6ws3YIJtFJAIpnZSJ_GUHp4rgDcZ5Ac2', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38sD6nXE-X2SryDJXz_7uydzvCZbOARDdpO_pAbX_XG7IdOpcmdQvd7MTYKWpi_KIcfdTn9J_XpE6c9FpAw0ZFe5Vr1wDD6aBhnKuwK8plPZBLJ90WCM-duQZ7h2UnGEFa1S7DY_fUQdGHN7', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uC--X15JHB09FcutK03rCfM2HxoIQIPTQUP5x86zNSD79zZ5rqbd5NtC8dyHe-mO5Cy7kVWYeRDawBoutROUNww2ycodkBwkwiu2eeHcXTGkEwgy9LcY_iOID96QfFNEygnMxs6cVs3Vw', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38u2KXsM0ojfTw8soDrSF4aXrE-FoLNlWZnuZWR4Z7ZrLw_YddlQ83ZwdxNQI3Ftf2MX2JBxJPNJtyAOxIrcSuQ8A79KfktmLK7WbmLP1_Q8TdtAxRM3RklMuWvwm4WGXuSgdg9Fn_3MeoQ', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vi9S2jj4rVEPWhJHEO5P9smzeW9nV3-hWqXjRSkg-X9u6W46AOIO2CIxFcKuqlPGEvDDs2ZQ74kk6BcuS3V1AraHpeZGgwz3VDF5JZvIDDBZ1RYML1s7jAU9gmV8geWSEhbaUr57_ts_U']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.019,0.778,0.203,0.9682,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJx1VMWs-xfkcRaHrmdccQx4M,Impronta Restaurant Venice,"{'latitude': 45.435856, 'longitude': 12.325377999999999}",5,a week ago,,nayast,"Absolutely fantastic place. The pasta is so delicious I¡¯d come back even on the rainiest day! comfort from the first bite to the last?? The staff are friendly, attentive and genuinely warm, you feel taken care of without any fuss. A special thank you to Roman, he made the whole experience even better with his kindness and professionalism?? Great menu, fantastic taste, good bar!Sure, it is the best restaurant in Venice","['https://lh3.googleusercontent.com/geougc-cs/AMBA38uAUZ4ziNAsyfDFhdM8FDZhZkb0b9aDp1bY3AmZUyU5yAONgmElbQ3oL6SMQxrQUVbTj3I06TfnwPc2I31iajKQMkELbuuhHPEmSEveQy0oKjsrVxaF82DjJBI7_1sLrc6wwXuxf1HzyOGy', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38s0a8NmX_wJyePSXMtqzq-PY8R2fWjMwiOOj5DvijfGHQnIoGcyIYg9818Wcm0y5U640GEa8ncHy1FRMiAQSruYo9OeRSh09Th5Vy2y3nRzocKSW6-B0uF_Ho5bRRZnyimW0PH-Q5zyHYM']",,TRUE,Resident,45.435856,12.325378,POINT (12.325377999999999 45.435856),0.0,0.549,0.451,0.9931,positive,12.325377999999999,45.435856,1372088.8099846316,5690400.583836247
ChIJgba9G9KxfkcROZAGilD2dxM,Trattoria ai Cugnai dal 1911,"{'latitude': 45.4306632, 'longitude': 12.3293962}",4,4 months ago,,Lynn N.,"Food was good and the price is very affordable as well. The shrimp one was flavourful, tomatoey, fresh. The cuttlefish pasta was amazing as well, although I would appreciate slightly more flavour with the sauce, the cuttlefish itself was so so fresh, cooked to perfection and generous portion as well.

The only thing is that the bread is a bit stale and tough at the same time haha, out of the 2 breads they have us one was really really chewy, while the other was hard like a rock. Service is also slightly rushed and forgetful, had to asked 3 times to get the olive oil and salt.

Other than that definitely recommend this place because it is cheap, good, and quick!",['https://lh3.googleusercontent.com/geougc-cs/AMBA38vrBHbv8Zb6LcA86ZcfLQYdpvKamkleWRvKdeJ6Y0desbvaACs6jI2EzcbO1fGP9yj-7yNW2Lyp9Bayj4Ck95fhBDp4ZXzkjmj6G6-7PqkrlCrgoNRcPtFbSbonkcaDa6MDIDc0PYJvsaOw'],,TRUE,Resident,45.4306632,12.3293962,POINT (12.3293962 45.4306632),0.031,0.688,0.281,0.9889,positive,12.3293962,45.4306632,1372536.149333065,5689576.770097476
ChIJx_80JCaufkcRi7jqrdlen0c,Taverna Scalinetto - Ristorante,"{'latitude': 45.434280199999996, 'longitude': 12.346391899999999}",5,2 months ago,,Taylor E,"I had this restaurant saved as a recommendation and we went after the Vivaldi concert since it was near the church. It was later in the night on a Friday and the restaurant was mostly empty. However, everything was great and delicious. Service was perfect and the food was fantastic. The bread was the fluffiest and softest bread we had in all of Italy.. it was so delicious. I ordered the spinach ravioli with sausage and my partner ordered duck gnocchi. We then split the tiramisu for dessert and watermelon was provided on the house for us. The interior of this restaurant was beautiful and charming. They had a seasonal/daily menu as well as the standard menu and it is evident that this changes often which is neat. Highly recommend!","['https://lh3.googleusercontent.com/geougc-cs/AMBA38tkqyN5YYl5Ef_-Ma0Bxrqj0XXSIQYR8vtDxomeuMTISYe_jZQvubDg3dMm8tCAORU8OCG1SAjMAeUTTwuedKAVRDC5ogBLILAugMA_mCrZNrTx_iiS4yFFBCOylO_4yVJyT8P3Kx2rBrm4', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uhVSAtEEqr2JhPNtfJ1PRStwHPU-4t6OmKUVUeRvKFq2xG2f7PGd5Unz1Olmq7CPYbIyOi-uo5MwMCCxwXY2dOGtkI8wKq4CdU9KQkNB9h3lENFSJ8HWs8hVyp9cx3K8UFeK7SI2KhMJ8B', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38ukbtAFUtuPJZNyimwXBdGCW2k7__MIYIr7a46f0QrI_DqwfEt7TdD46PpHq5Gi_fTJ6v2kEQjDQb352NbdYCVuld4Job2bMvpREMHX0IZXGfsvE744fglUcGvhZOkh3-bHZLp61MNMeZvB', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vTfxVyiNFHwsMCP6dnvV42XIUWtAIimyaU4JsE0cGYegXkgYbUANzZPUFOK6oYmqYuhEdItlK3JySyFPZcA5uO1RV1cdTClIwGPpIe-Bb80zj9JNLkG8Rbnwuoqswa015yGn-PxQMsiyc', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38su3XPJFppQFKB0ZbBQ9P5VpZZqxS1cjKJ7IUU_SEkl8Wp9m72QnXELqnEsDuHwduB5dxZFBLYvLj76pY3Jnyjahe_Rf7lpk2E4YnYqKKBOL-PxRvjyY0ReNKOHhyduUJaa4W5oKKfb7bY1', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38t9QdeMvk9dETKcOBAceF5--F06Ub59284_uAYlsXxAk1QP4J6LzTTDo9nXZBGw-x8iv92mJH9ex9tpvJHhBax2CTSUmg-cV5ZTvqkR8U-_f4j5DHccxQZDsRO0nTowx6w5BfjqCbArUIIw', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uu2UbLci5UKldjw6gPwnkjU7UNQ3US7Td2DRAjn8pcZTZ_gyAtPgnJpK4LcV3B6P742fLRXwmrGQ_8hM3mHOfb1lA1PS4_GORxDFVTA0V0ARnJ7xCcuw-WLk6dnEJxFmmFwuZjWpojQ-BP']",,TRUE,Resident,45.4342802,12.3463919,POINT (12.346391899999999 45.434280199999996),0.011,0.745,0.243,0.9897,positive,12.346391899999999,45.434280199999996,1374428.2669836709,5690150.574006595
ChIJlWHWBtyxfkcRqijQhh9K53Y,Trattoria Tre Spiedi,"{'latitude': 45.439679899999994, 'longitude': 12.337455499999999}",5,2 months ago,,TJ,"What a spectacular dining experience! I can't recommend this place enough. From the moment we walked in, we were treated like family. The food was simply incredible¡ªevery dish was a work of art.
We started with the octopus salad, which was fresh and tender, and the mussels and clam soup, a rich and flavorful broth that was perfect for dipping. For our main courses, the grilled fish was cooked to perfection, flaky and moist. The cuttlefish ink pasta was a rich, inky delight, and the Samara pasta Venetian style was a revelation of local flavors. We finished the meal with a classic tiramisu and a perfect cappuccino, the ideal end to a perfect evening.
The service by Mechile and Marco were impeccable¡ªattentive but not intrusive. The atmosphere was warm, lively, and authentically Venetian. If you're looking for a true taste of Venice, this trattoria is an absolute must.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38tXetSUa2yUmiL542cPwjnJcHj-KXI0JE0TssnlCRN0suF0IeVxf0hxtcwDpNA0xA3MCnpXsZO9-by5QAEXNuPOuWL-d51Qq2XrK6C-f-PZEHCV2ERIoW2MKsPjTshfzpuqz2gXmcAOE1IF', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vvmttIGUmpBUFkfFpfl_fViQ_EioFwg37S9f4QwsZW5-gMhGMiovZiCTtCR3lQMBptGvhhlK7b5hqUk-PIOdmSdWX7TKKJw41KGbFejl7K5xOef2r16iag1qibk0DgFd8tUNnhZwac78ej', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uZHN0oFd3xAoyRqQrGMHUM08Nr2fcGCrK7m0AzxafOzrq9LI5tgY1mjhQuwmYBjkYZA3b6BF0stnfsIaSVOBGHU4o2Wrp5x3hWFW96YFdtTx3ueDanLqCyjE84A_srKdCXgRpJHVkE8FaY']",,TRUE,Resident,45.4396799,12.3374555,POINT (12.337455499999999 45.439679899999994),0.009,0.799,0.192,0.9792,positive,12.337455499999999,45.439679899999994,1373433.3891372085,5691007.269994149
