ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,match_radius_m,match_candidates_k,start_window_m,end_window_m,x_3857_generated,y_3857_generated,dist_along_m_generated
394218,2500,458,103,2500.0,103,635,635.37,597.49,677.49,1,45.432497,12.357194,0.72,170126,10334600,6,1375596.5437136954,5689868.220813262,1375596.4021442295,5689870.199661843,1.9839061513186045,0,3691.012503986353,35,20,250,250,1375603.368629547,5689870.859920749,0.0
398678,2500,2500,2500,2500.0,2500,630,636.45,597.46,677.46,1,45.432491,12.357201,0.2,170126,10335100,6,1375597.322950131,5689867.269024489,1375597.397228018,5689870.295960274,3.0278469984174,0,3691.012503986353,35,20,250,250,1375595.885349187,5689870.149649419,7.517337075328621
403027,2500,2500,2500,2500.0,2500,636,636.99,597.45,677.45,1,45.432484,12.357186,3.78,170126,10335500,6,1375595.653157769,5689866.158604382,1375595.4070604416,5689870.103363412,3.9524280763238666,1,3691.012503986353,35,20,250,250,1375588.4096180564,5689869.36156301,15.034674150657242
407530,2500,2500,2500,2500.0,2500,637,637.46,597.44,677.44,1,45.432465,12.357108,3.89,170126,10340000,6,1375586.9702374872,5689863.144607639,1375586.460831826,5689869.145031206,6.022007731267645,10,3691.012503986353,35,20,250,250,1375580.938259009,5689868.5314120045,22.552011225985865
411814,2500,758,2500,2500.0,758,639,637.47,597.44,677.44,1,45.432476,12.357037,4.57,170126,10340400,6,1375579.0665536409,5689864.889552997,1375578.5097302066,5689868.286210204,3.4419954260383334,18,3691.012503986353,35,20,250,250,1375573.4446928585,5689867.952251697,30.069348301314484
416189,2500,2500,2500,2500.0,2500,638,638.28,597.45,677.45,1,45.432469,12.35697,4.02,170126,10340800,6,1375571.6081477578,5689863.779133184,1375571.5267645568,5689867.825794886,4.047479975951042,25,3691.012503986353,35,20,250,250,1375565.9436427627,5689867.457676966,37.5866853766431
420588,21,2500,2500,2500.0,21,635,637.87,597.46,677.46,1,45.432439,12.356912,4.43,170126,10341300,6,1375565.1516172916,5689859.020192687,1375564.543798907,5689867.365379568,8.36729270816008,32,3691.012503986353,35,20,250,250,1375558.4438015542,5689866.947801071,45.10402245197173
425030,9,495,2500,2500.0,9,632,637.92,597.47,677.47,1,45.432414,12.356855,3.35,170126,10341700,6,1375558.8064063163,5689855.054410872,1375554.5772958745,5689866.591675548,12.287955539053556,42,3691.012503986353,35,20,250,250,1375550.9581492369,5689866.258333094,52.62135952730035
429534,12,2500,2500,2500.0,12,645,638.1,597.48,677.48,1,45.432404,12.356776,4.13,170126,10342200,6,1375550.012166544,5689853.468098638,1375546.057791996,5689853.714806099,3.962062927054949,3535,3691.012503986353,35,20,250,250,1375543.4724969198,5689865.568865118,60.13869660262897
433920,2500,752,2500,2500.0,752,639,638.38,597.49,677.49,1,45.43239,12.356722,4.15,170126,10342600,6,1375544.000914041,5689851.247261981,1375546.2310048875,5689851.722857851,2.280240473159996,3535,3691.012503986353,35,20,250,250,1375535.9753391787,5689865.021853497,67.6560336779576
438200,111,643,2500,755.0,111,639,637.93,597.5,677.5,1,45.432397,12.356668,4.07,170126,10343000,6,1375537.9896615385,5689852.357680242,1375546.2023175666,5689842.736893095,12.649397786227668,3535,3691.012503986353,35,20,250,250,1375528.4760631,5689864.501070436,75.1733707532862
442574,2500,2500,2500,2500.0,2500,642,638.18,597.51,677.51,1,45.432409,12.356584,3.85,170126,10343500,6,1375528.6388243116,5689854.261254719,1375527.67169871,5689864.445211798,10.229775838496291,3535,3691.012503986353,35,20,250,250,1375520.9825734922,5689863.904533573,82.69070782861483
446929,2500,2500,2500,2500.0,2500,639,639.37,597.54,677.54,1,45.432393,12.356526,4.35,170126,10343900,6,1375522.1822938456,5689851.723155504,1375520.6964729445,5689863.880691861,12.24799387715848,3535,3691.012503986353,35,20,250,250,1375513.4828401108,5689863.481312703,90.20804490394346
451382,2500,2500,2500,2500.0,2500,634,638.95,597.58,677.58,1,45.432392,12.356464,3.98,170126,10344300,6,1375515.2804854163,5689851.564524328,1375514.714689767,5689863.481312703,11.930212483079837,3535,3691.012503986353,35,20,250,250,1375505.9658698179,5689863.4497651495,97.72538197927207
455725,2500,2500,2500,2500.0,2500,640,639.37,597.62,677.62,1,45.432393,12.356379,4.94,170126,10344800,6,1375505.8183286989,5689851.723155504,1375505.7175309174,5689863.443989825,11.721267737796584,3535,3691.012503986353,35,20,250,250,1375498.45056473,5689863.274990613,105.2427190546007
460164,534,2500,2500,2500.0,534,644,639.27,597.66,677.66,1,45.43238,12.356322,3.46,170126,10345200,6,1375499.4731177238,5689849.660950422,1375498.721294843,5689863.2812866615,13.6410702261177,3535,3691.012503986353,35,20,250,250,1375490.9352596418,5689863.100216076,112.76005612992931
464460,450,2500,2500,2500.0,450,643,638.17,597.68,677.68,1,45.432375,12.35625,4.17,170126,10345700,6,1375491.4581143863,5689848.867794748,1375490.725596472,5689863.095340188,14.246390129476948,3535,3691.012503986353,35,20,250,250,1375483.4186082964,5689863.04123535,120.27739320525794
468867,2500,2500,2500,2500.0,2500,639,637.39,597.67,677.67,1,45.432375,12.356198,3.3,170126,10350100,7,1375485.6695008653,5689848.867794748,1375485.7275628585,5689863.04123535,14.17355952766678,3535,3691.012503986353,35,20,250,250,1375475.901271221,5689863.04123535,127.79473028058656
