ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,x_3857_generated,y_3857_generated,dist_along_m_generated
32115,2500,2500,2500,2500,2500,366,378.74,341.14,421.14,0,0,0,0,0,0,0,0,0,1375659.2864675403,5689879.758536585,0
33290,2500,2500,2500,2500,2500,365,374.1,341.09,421.09,0,0,0,0,0,0,0,0,0,1375660.7876546427,5689880.879155471,1.8847758945189848
34492,2500,2500,2500,923,923,369,371.79,341.01,421.01,0,0,0,0,0,0,0,0,0,1375662.464289115,5689881.74012993,3.7695517890379695
35944,2500,2500,2500,565,565,368,370.82,340.93,420.93,0,0,0,0,0,0,0,0,0,1375664.1409235874,5689882.601104389,5.6543276835569545
37391,2500,2500,2500,675,675,366,369.27,340.84,420.84,0,0,0,0,0,0,0,0,0,1375665.8175580597,5689883.462078848,7.539103578075939
38825,2500,2500,2500,836,836,357,366.5,340.73,420.73,0,0,0,0,0,0,0,0,0,1375667.494192532,5689884.323053307,9.423879472594924
40311,2500,2500,2500,798,798,355,363.09,340.6,420.6,0,0,0,0,0,0,0,0,0,1375669.2278976429,5689885.04291308,11.308655367113909
41799,2500,2500,2500,925,925,354,359.26,340.44,420.44,0,0,0,0,0,0,0,0,0,1375671.0316741709,5689885.589512028,13.193431261632893
43326,2500,2500,53,2500,53,350,355.87,340.26,420.26,0,0,0,0,0,0,0,0,0,1375672.8354506989,5689886.136110975,15.078207156151878
44779,2500,2500,87,2500,87,346,353.28,340.05,420.05,0,0,0,0,0,0,0,0,0,1375674.6392272268,5689886.682709924,16.962983050670864
46254,2500,2500,56,2500,56,346,351.44,339.83,419.83,0,0,0,0,0,0,0,0,0,1375676.429891516,5689887.268831894,18.84775894518985
47683,2500,2500,65,2500,65,349,350.08,339.6,419.6,0,0,0,0,0,0,0,0,0,1375678.2026900996,5689887.908804826,20.732534839708833
48907,2500,2500,69,2500,69,345,348.68,339.41,419.41,0,0,0,0,0,0,0,0,0,1375679.9754886832,5689888.548777759,22.617310734227818
50573,2500,2500,79,2500,79,344,347.53,339.1,419.1,0,0,0,0,0,0,0,0,0,1375681.7482872668,5689889.188750692,24.502086628746802
51811,2500,2500,2500,175,175,347,347.31,338.91,418.91,0,0,0,0,0,0,0,0,0,1375683.5210858504,5689889.828723623,26.386862523265787
53035,2500,2500,2500,2500,2500,347,347.36,338.72,418.72,0,0,0,0,0,0,0,0,0,1375685.2938844343,5689890.468696556,28.27163841778477
54254,2500,2500,2500,2500,2500,348,347.36,338.54,418.54,0,0,0,0,0,0,0,0,0,1375687.0666830179,5689891.108669489,30.156414312303756
55479,2500,2500,121,2500,121,350,347.56,338.35,418.35,0,0,0,0,0,0,0,0,0,1375688.8394816015,5689891.748642421,32.04119020682274
56485,2500,2500,51,2500,51,346,347.36,338.23,418.23,0,0,0,0,0,0,0,0,0,1375690.6380651598,5689892.311754709,33.92596610134173
57913,2500,249,2500,66,66,349,347.4,338.04,418.04,0,0,0,0,0,0,0,0,0,1375692.4381470226,5689892.870400804,35.81074199586071
59441,2500,444,2500,2500,444,350,348,337.8,417.8,0,0,0,0,0,0,0,0,0,1375694.2382288855,5689893.429046899,37.6955178903797
60967,2500,2500,2500,2500,2500,347,347.65,337.56,417.56,0,0,0,0,0,0,0,0,0,1375696.038310748,5689893.987692995,39.58029378489868
62400,2500,2500,466,964,466,352,348.71,337.32,417.32,0,0,0,0,0,0,0,0,0,1375697.8398449982,5689894.541616665,41.46506967941767
63852,2500,2500,2500,751,751,353,348.84,337.09,417.09,0,0,0,0,0,0,0,0,0,1375699.6427527897,5689895.091074278,43.34984557393665
65362,2500,2500,2500,2500,2500,347,348.42,336.87,416.87,0,0,0,0,0,0,0,0,0,1375701.445660581,5689895.640531891,45.234621468455636
66773,2500,2500,2500,232,232,349,348.12,336.64,416.64,0,0,0,0,0,0,0,0,0,1375703.2423601802,5689896.209168158,47.11939736297462
68301,2500,2500,2500,962,962,345,347.2,336.41,416.41,0,0,0,0,0,0,0,0,0,1375705.0252562966,5689896.8204468265,49.004173257493605
69760,2500,2500,750,35,35,339,345.51,336.17,416.17,0,0,0,0,0,0,0,0,0,1375706.8049971852,5689897.440459372,50.888949152012586
71270,805,2500,55,2500,55,342,344.99,335.92,415.92,0,0,0,0,0,0,0,0,0,1375708.5669201047,5689898.109793219,52.773725046531574
72785,948,1253,493,20,20,339,343.84,335.67,415.67,0,0,0,0,0,0,0,0,0,1375710.328843024,5689898.779127066,54.658500941050555
74277,699,2500,514,136,136,343,343.65,335.41,415.41,0,0,0,0,0,0,0,0,0,1375712.0907659435,5689899.448460912,56.54327683556954
75804,810,2500,493,55,55,344,342.89,335.15,415.15,0,0,0,0,0,0,0,0,0,1375713.852688863,5689900.11779476,58.428052730088524
77331,883,418,2500,2500,418,344,342.58,334.89,414.89,0,0,0,0,0,0,0,0,0,1375715.6146117821,5689900.787128606,60.31282862460751
78837,781,2500,2500,2500,781,342,342.53,334.64,414.64,0,0,0,0,0,0,0,0,0,1375717.3671716722,5689901.480240888,62.1976045191265
80346,2500,578,810,2500,578,344,342.79,334.38,414.38,0,0,0,0,0,0,0,0,0,1375719.1124288666,5689902.191899162,64.08238041364548
81855,993,676,1085,2500,676,343,342.78,334.13,414.13,0,0,0,0,0,0,0,0,0,1375720.8576860607,5689902.903557435,65.96715630816446
83324,602,2500,2500,578,578,346,342.96,333.88,413.88,0,0,0,0,0,0,0,0,0,1375722.602943255,5689903.6152157085,67.85193220268346
84792,2500,2500,2500,27,27,341,342.26,333.63,413.63,0,0,0,0,0,0,0,0,0,1375724.3482004495,5689904.326873981,69.73670809720244
86302,2500,512,75,2500,75,339,342.18,333.38,413.38,0,0,0,0,0,0,0,0,0,1375726.0934576439,5689905.038532255,71.62148399172142
87785,2500,2500,2500,40,40,339,341.87,333.13,413.13,0,0,0,0,0,0,0,0,0,1375727.8409999353,5689905.744162107,73.5062598862404
89240,1213,2500,2500,938,938,343,342.15,332.88,412.88,0,0,0,0,0,0,0,0,0,1375729.619474436,5689906.368188247,75.3910357807594
90714,2500,2500,79,2500,79,338,341.53,332.64,412.64,0,0,0,0,0,0,0,0,0,1375731.3979489363,5689906.992214387,77.27581167527838
92220,381,2500,47,2500,47,341,341.16,332.39,412.39,0,0,0,0,0,0,0,0,0,1375733.1764234367,5689907.6162405275,79.16058756979736
93704,42,2500,57,2500,42,338,340.97,332.14,412.14,0,0,0,0,0,0,0,0,0,1375734.9298847092,5689908.30453262,81.04536346431634
95188,59,2500,54,2500,54,340,341.03,331.89,411.89,0,0,0,0,0,0,0,0,0,1375736.6622671052,5689909.0469822185,82.93013935883533
96650,2500,2500,50,2500,50,337,339.79,331.64,411.64,0,0,0,0,0,0,0,0,0,1375738.3946495012,5689909.789431817,84.81491525335431
98097,2500,2500,79,21,21,338,338.72,331.38,411.38,0,0,0,0,0,0,0,0,0,1375740.1270318974,5689910.531881415,86.6996911478733
99578,2500,2500,362,20,20,334,337.52,331.11,411.11,0,0,0,0,0,0,0,0,0,1375741.9017029777,5689911.156037697,88.58446704239228
101043,98,2500,83,23,23,338,337.09,330.84,410.84,0,0,0,0,0,0,0,0,0,1375743.7121513484,5689911.680114857,90.46924293691127
102556,638,2500,97,26,26,332,336.22,330.57,410.57,0,0,0,0,0,0,0,0,0,1375745.5077232483,5689912.247114525,92.35401883143025
104065,2500,2500,2500,17,17,333,335.84,330.29,410.29,0,0,0,0,0,0,0,0,0,1375747.2541807992,5689912.955821937,94.23879472594923
105534,2500,2500,711,60,60,336,335.81,330.02,410.02,0,0,0,0,0,0,0,0,0,1375749.0006383501,5689913.664529349,96.12357062046823
107061,301,1251,509,32,32,335,335.53,329.75,409.75,0,0,0,0,0,0,0,0,0,1375750.747095901,5689914.3732367605,98.00834651498721
108569,2500,362,2500,65,65,335,335.18,329.47,409.47,0,0,0,0,0,0,0,0,0,1375752.493553452,5689915.081944172,99.89312240950619
110074,2500,2500,2500,32,32,336,334.83,329.19,409.19,0,0,0,0,0,0,0,0,0,1375754.2400110026,5689915.790651585,101.77789830402517
111578,2500,545,104,24,24,330,333.97,328.92,408.92,0,0,0,0,0,0,0,0,0,1375755.9864685535,5689916.499358997,103.66267419854417
113104,106,525,2500,73,73,332,333.62,328.64,408.64,0,0,0,0,0,0,0,0,0,1375757.7329261045,5689917.2080664085,105.54745009306315
114597,130,2500,2500,55,55,331,332.89,328.35,408.35,0,0,0,0,0,0,0,0,0,1375759.4793836554,5689917.91677382,107.43222598758213
116126,2500,565,2500,25,25,331,331.85,328.06,408.06,0,0,0,0,0,0,0,0,0,1375761.2315284067,5689918.61115542,109.31700188210111
117588,2500,511,2500,95,95,331,331.7,327.77,407.77,0,0,0,0,0,0,0,0,0,1375762.9885359837,5689919.293287774,111.2017777766201
119041,2500,546,2500,83,83,329,331.31,327.48,407.48,0,0,0,0,0,0,0,0,0,1375764.7455435605,5689919.975420127,113.08655367113909
120553,550,525,2500,76,76,329,331.41,327.2,407.2,0,0,0,0,0,0,0,0,0,1375766.5025511372,5689920.65755248,114.97132956565807
122029,621,562,2500,78,78,331,331.4,326.91,406.91,0,0,0,0,0,0,0,0,0,1375768.259558714,5689921.339684834,116.85610546017705
123556,2500,589,2500,83,83,331,331.51,326.63,406.63,0,0,0,0,0,0,0,0,0,1375770.012578278,5689922.031704659,118.74088135469604
125058,2500,2500,870,82,82,333,331.07,326.35,406.35,0,0,0,0,0,0,0,0,0,1375771.7511728168,5689922.75948842,120.62565724921502
126502,2500,2500,2500,85,85,329,330.87,326.06,406.06,0,0,0,0,0,0,0,0,0,1375773.4897673556,5689923.48727218,122.510433143734
127930,2500,2500,1122,100,100,330,331.18,325.78,405.78,0,0,0,0,0,0,0,0,0,1375775.2470284,5689924.1667446755,124.395209038253
129361,2500,2500,2500,97,97,333,331.97,325.51,405.51,0,0,0,0,0,0,0,0,0,1375777.0232934968,5689924.79703229,126.27998493277198
130837,2500,2500,924,24,24,333,332.25,325.25,405.25,0,0,0,0,0,0,0,0,0,1375778.7865230672,5689925.4621497085,128.16476082729096
132356,2500,2500,2500,31,31,334,332.36,324.98,404.98,0,0,0,0,0,0,0,0,0,1375780.540134378,5689926.152966285,130.04953672180994
133791,2500,2500,2500,349,349,332,332.29,324.72,404.72,0,0,0,0,0,0,0,0,0,1375782.2937456889,5689926.843782862,131.93431261632892
135293,2500,2500,400,547,400,336,333.12,324.47,404.47,0,0,0,0,0,0,0,0,0,1375784.0473569997,5689927.534599439,133.8190885108479
136821,2500,2500,75,400,75,333,333,324.22,404.22,0,0,0,0,0,0,0,0,0,1375785.8009683108,5689928.225416016,135.70386440536691
138351,2500,2500,2500,2500,2500,329,333.54,323.97,403.97,0,0,0,0,0,0,0,0,0,1375787.5545796216,5689928.916232592,137.5886402998859
139800,2500,2500,2500,2500,2500,333,334.36,323.73,403.73,0,0,0,0,0,0,0,0,0,1375789.3081909325,5689929.60704917,139.47341619440488
141232,2500,2500,2500,106,106,336,335.01,323.5,403.5,0,0,0,0,0,0,0,0,0,1375791.0618022433,5689930.297865747,141.35819208892386
142698,2500,719,446,2500,446,340,335.34,323.28,403.28,0,0,0,0,0,0,0,0,0,1375792.7816487816,5689931.059303631,143.24296798344284
144182,2500,2500,77,284,77,335,335.4,323.05,403.05,0,0,0,0,0,0,0,0,0,1375794.4203795425,5689931.990400653,145.12774387796182
