ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,time_col_used,head_points,tail_points,start_prior_max,end_prior_max,x_3857_generated,y_3857_generated,dist_along_m_generated
246896,2500,2500,2500,2500,2500,400,400.84,353.15,433.15,1,45.432583,12.357794,0.0,170126,13462900,9,1375663.3354081714,5689881.863130144,1375657.8212331317,5689878.44176085,6.4893677821905404,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375657.8212331317,5689878.44176085,0.0
248095,2500,2500,2500,557,557,405,401.53,353.2,433.2,1,45.432583,12.357794,0.0,170126,13463000,9,1375663.3354081714,5689881.863130144,1375657.8212331317,5689878.44176085,6.4893677821905404,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375655.9793957977,5689877.915521612,1.9155397413959376
249639,2500,2500,666,2500,666,409,402.4,353.27,433.27,1,45.432584,12.357795,0.0,170126,13463200,10,1375663.446727662,5689882.021761857,1375657.8212331317,5689878.44176085,6.668027888421706,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375654.1399072562,5689877.38126173,3.8310794827918753
251110,2500,2500,2500,2500,2500,399,402.14,353.34,433.34,1,45.432584,12.357788,2.3,170126,13463300,11,1375662.6674912265,5689882.021761857,1375657.8212331317,5689878.44176085,6.025165950414119,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375652.3051529415,5689876.830835435,5.746619224187813
252529,2500,2500,2500,2500,2500,401,402.94,353.42,433.42,1,45.432586,12.357785,0.0,170126,13463500,11,1375662.3335327543,5689882.3390252935,1375657.8212331317,5689878.44176085,5.962341656245474,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375650.4359360915,5689876.441638494,7.6621589655837505
253950,2500,599,2500,570,570,402,402.99,353.49,433.49,1,45.432586,12.357784,0.0,170126,13463600,11,1375662.2222132636,5689882.3390252935,1375657.8212331317,5689878.44176085,5.87854542067841,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375648.5364860962,5689876.193884146,9.577698706979689
255402,2500,2500,2500,2500,2500,397,402.57,353.57,433.57,1,45.432588,12.357771,0.0,170126,13463800,11,1375660.775059883,5689882.656288742,1375657.8212331317,5689878.44176085,5.1465850647658025,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375646.637036101,5689875.946129799,11.493238448375626
256872,2500,429,2500,2500,429,399,401.52,353.63,433.63,1,45.432587,12.357758,3.06,170126,13463900,11,1375659.3279065029,5689882.497657016,1375657.8212331317,5689878.44176085,4.326702942777237,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375644.7892067572,5689875.451019806,13.408778189771564
258349,2500,2500,2500,868,868,397,400.89,353.69,433.69,1,45.432585,12.357734,1.96,170126,13464100,11,1375656.6562387238,5689882.180393574,1375657.8212331317,5689878.44176085,3.915940067608592,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375642.9492077345,5689874.91838851,15.324317931167501
259862,2500,2500,615,697,615,397,399.9,353.75,433.75,1,45.432584,12.35772,2.82,170126,13464200,11,1375655.0977658527,5689882.021761857,1375657.8212331317,5689878.44176085,4.498186437741122,0.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375641.066820237,5689874.625605437,17.23985767256344
261338,2500,2500,2500,2500,2500,394,398.81,353.79,433.79,1,45.432585,12.357696,1.94,170126,13464400,11,1375652.4260980738,5689882.180393574,1375657.3404787837,5689878.304402465,6.258949179957057,0.5,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375639.1557174744,5689874.495302975,19.155397413959378
262794,2500,433,2500,2500,433,397,398.68,353.83,433.83,1,45.432586,12.357688,2.83,170126,13464500,11,1375651.5355421472,5689882.3390252935,1375657.3404787837,5689878.304402465,7.069333117170035,0.5,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375637.2457408872,5689874.354837684,21.070937155355313
264307,2500,453,2500,464,453,399,399.06,353.87,433.87,1,45.432585,12.357685,0.0,170126,13464600,11,1375651.201583675,5689882.180393574,1375657.3404787837,5689878.304402465,7.260119849566447,0.5,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375635.352475621,5689874.0635661045,22.986476896751252
265801,2500,827,2500,515,515,393,398.42,353.91,433.91,1,45.432587,12.357679,0.0,170126,13464800,11,1375650.5336667302,5689882.497657016,1375657.3404787837,5689878.304402465,7.994752908070749,0.5,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375633.459210355,5689873.772294525,24.902016638147188
267302,2500,2500,2500,542,542,397,397.69,353.94,433.94,1,45.432586,12.357669,2.35,170126,13464900,11,1375649.420471822,5689882.3390252935,1375657.3404787837,5689878.304402465,8.888458338932303,0.5,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375631.5484898814,5689873.683189035,26.817556379543127
268762,2500,2500,2500,829,829,395,396.89,353.97,433.97,1,45.432583,12.357641,3.19,170126,13465100,11,1375646.3035260795,5689881.863130144,1375656.8597244355,5689878.16704408,11.184559710736782,1.0,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375629.6333182654,5689873.645636651,28.733096120939063
270178,2500,2500,2500,2500,2500,396,396.35,353.99,433.99,1,45.432581,12.357626,3.43,170126,13465200,11,1375644.633733718,5689881.545866725,1375655.4174613913,5689877.754968924,11.430646905028103,2.5,2106.466587187437,0.5,3857,ms,120,160,12.0,18.0,1375627.7181466492,5689873.608084267,30.648635862335002
