ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,x_3857_generated,y_3857_generated,dist_along_m_generated
345718,2500,2500,2500,2500,2500,464,464.15,461.51,554.63,1,45.432524,12.357827,7.32,170126,14455300,7,1375667.0089513676,5689872.503863999,1375660.8973776426,5689871.865130745,6.144860744209743,0.0,3477.6786293824302,0.5,3857,1375665.2826798714,5689863.123749873,0.0
347211,2500,2500,709,344,344,460,464.4,461.53,553.91,1,45.432513,12.357864,7.74,170126,14455500,7,1375671.1277725268,5689870.758917156,1375662.6665575828,5689866.702341298,9.383387768867024,5.5,3477.6786293824302,0.5,3857,1375663.8984519446,5689864.574523764,2.040891214426311
348708,2500,2500,514,1202,514,469,465.18,461.56,553.2,1,45.432513,12.357859,0.0,170126,14455600,7,1375670.571175073,5689870.758917156,1375662.9170525698,5689866.269668138,8.873496945422936,6.0,3477.6786293824302,0.5,3857,1375662.8758914217,5689866.340764667,4.081782428852622
350195,2500,2500,699,2500,699,466,465.78,461.59,552.5,1,45.432515,12.357867,0.0,170126,14455800,7,1375671.4617309992,5689871.076180193,1375662.6665575828,5689866.702341298,9.822705437078625,6.0,3477.6786293824302,0.5,3857,1375661.8627609138,5689868.110862467,6.122673643278933
351645,2500,2500,653,2500,653,463,464.74,461.62,551.8,1,45.432515,12.357885,3.35,170126,14455900,7,1375673.4654818336,5689871.076180193,1375663.4180425445,5689865.404321819,11.537808010484504,7.0,3477.6786293824302,0.5,3857,1375661.3544952436,5689870.087451185,8.163564857705245
353089,2500,2500,2500,2500,2500,458,464.03,461.64,551.11,1,45.432495,12.357886,3.37,170126,14460100,7,1375673.5768013245,5689867.903550329,1375665.2826798714,5689863.123749873,9.57282315086132,10.0,3477.6786293824302,0.5,3857,1375660.8008906941,5689872.043444757,10.204456072131556
354526,2500,2500,1156,787,787,461,463.6,461.66,550.41,1,45.432491,12.357889,4.48,170126,14460200,7,1375673.9107597966,5689867.269024489,1375665.2826798714,5689863.123749873,9.572202716413278,10.0,3477.6786293824302,0.5,3857,1375659.6467088417,5689873.726626625,12.245347286557866
355977,2500,2500,2500,733,733,462,463.15,461.67,549.72,1,45.432491,12.357884,0.0,170126,14460400,7,1375673.3541623428,5689867.269024489,1375665.2826798714,5689863.123749873,9.073705468825594,10.0,3477.6786293824302,0.5,3857,1375658.4925269892,5689875.409808493,14.286238500984178
357404,2500,2500,2500,847,847,461,462.55,461.68,549.02,1,45.432491,12.357887,0.0,170126,14460500,7,1375673.6881208152,5689867.269024489,1375665.2826798714,5689863.123749873,9.372018945131192,10.0,3477.6786293824302,0.5,3857,1375657.254837684,5689877.031652284,16.32712971541049
358865,2500,2500,2500,523,523,461,461.92,461.69,548.33,1,45.432491,12.35788,0.0,170126,14460600,7,1375672.9088843795,5689867.269024489,1375665.2826798714,5689863.123749873,8.679994058075888,10.0,3477.6786293824302,0.5,3857,1375655.3535088014,5689877.380772254,18.3680209298368
